model,horizon,fipsCode,rmse,mae,n
C1_component_osi,osi_target_t01h,54031,0.002529646452702789,0.0017558427757981656,143
C1_component_osi,osi_target_t01h,54033,0.0032732946906071795,0.002109213038851481,143
C1_component_osi,osi_target_t01h,54035,0.0029070329002316114,0.0016465701325987753,143
C1_component_osi,osi_target_t01h,54037,0.0029676723909597105,0.0011638590347141256,143
C1_component_osi,osi_target_t01h,54039,0.003058110879552822,0.001691522363822056,143
C1_component_osi,osi_target_t01h,54041,0.014346971953191545,0.003918722117510575,143
C1_component_osi,osi_target_t01h,54043,0.0082593989315969,0.003637233884773406,143
C1_component_osi,osi_target_t01h,54045,0.00920646021029809,0.0045346030442264835,143
C1_component_osi,osi_target_t01h,54047,0.004563338968818923,0.0024355291725429826,143
C1_component_osi,osi_target_t01h,54053,0.0012800275801330017,0.0007496422049311671,143
C1_component_osi,osi_target_t01h,54055,0.0021329518280542433,0.0010335949971605855,143
C1_component_osi,osi_target_t01h,54057,0.0021210504008409947,0.0014060210678614206,143
C1_component_osi,osi_target_t01h,54059,0.013729612180760447,0.008591573852699349,143
C1_component_osi,osi_target_t01h,54063,0.0026031406049738036,0.0014857057119243354,143
C1_component_osi,osi_target_t01h,54067,0.005200578068825625,0.002304531065244297,143
C1_component_osi,osi_target_t01h,54069,0.008570472356909518,0.005683840580988559,143
C1_component_osi,osi_target_t01h,54071,0.004241155854743656,0.0026794104459854705,143
C1_component_osi,osi_target_t01h,54073,0.006593676269000439,0.004003634628739122,143
C1_component_osi,osi_target_t01h,54075,0.0035179744608705116,0.0022630998746605143,143
C1_component_osi,osi_target_t01h,54077,0.0044889822777479296,0.0024060020540819524,143
C1_component_osi,osi_target_t01h,54079,0.0012275094123432647,0.0006579422938012341,143
C1_component_osi,osi_target_t01h,54081,0.0015623171244144411,0.0008792863275913683,143
C1_component_osi,osi_target_t01h,54083,0.008673055599730868,0.006020013944271648,143
C1_component_osi,osi_target_t01h,54085,0.010250554855071481,0.005156838306166085,143
C1_component_osi,osi_target_t01h,54087,0.008870334488984381,0.0038065644182569323,143
C1_component_osi,osi_target_t01h,54089,0.0019469650981491615,0.0012257601076547278,143
C1_component_osi,osi_target_t01h,54091,0.00873810987991611,0.005699165831961108,143
C1_component_osi,osi_target_t01h,54093,0.00512555264038884,0.003843772352273528,143
C1_component_osi,osi_target_t01h,54095,0.01131541266476463,0.0046351599695536915,143
C1_component_osi,osi_target_t01h,54097,0.0017110878869790076,0.001045295101799847,143
C1_component_osi,osi_target_t01h,54099,0.00924488217198304,0.007354062985440474,143
C1_component_osi,osi_target_t01h,54101,0.0056547193164466075,0.0029616875278944245,143
C1_component_osi,osi_target_t01h,54103,0.012929900083380628,0.008529481530796735,143
C1_component_osi,osi_target_t01h,54105,0.006146214990053999,0.002978660865493904,143
