case,reference,pair,horizon,fold,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
NR_both,R_only,NR_both_minus_R_only,6,4,6624,0.007983989756876473,0.42224086830870566,0.002782670408216563,4.5528784188010706e-05,0.007981931657112907,2.058099763566426e-06,0.02578448240322384,-0.00021766105699416727
N_only,B0,N_only_minus_B0,24,0,5760,0.0045851814325180325,0.12109759931006277,0.0020526524421694164,0.00030927361909837347,0.0045851814325180325,0.0,0.0,0.0
N_only,B0,N_only_minus_B0,24,1,5640,0.00870754418220506,0.4276322768636999,0.002810650932593464,-0.0005143658614579066,0.00870754418220506,0.0,0.0,0.0
N_only,B0,N_only_minus_B0,24,2,5760,0.01297325098916932,0.9694381894731805,0.00381108437623181,-0.000954410874588216,0.01297325098916932,0.0,0.0,0.0
N_only,B0,N_only_minus_B0,24,3,5760,0.006039680323082008,0.21011177321293814,0.0027556539418766286,0.0010092013127519961,0.006039680323082008,0.0,0.0,0.0
N_only,B0,N_only_minus_B0,24,4,5760,0.0073615990907342655,0.31215249315474947,0.0024693018439742496,-0.00032135511036152857,0.0073615990907342655,0.0,0.0,0.0
R_only,B0,R_only_minus_B0,24,0,5760,0.0045851814325180325,0.12109759931006277,0.0020526524421694164,0.00030927361909837347,0.0045851814325180325,0.0,0.0,0.0
R_only,B0,R_only_minus_B0,24,1,5640,0.00870754418220506,0.4276322768636999,0.002810650932593464,-0.0005143658614579066,0.00870754418220506,0.0,0.0,0.0
R_only,B0,R_only_minus_B0,24,2,5760,0.01297325098916932,0.9694381894731805,0.00381108437623181,-0.000954410874588216,0.01297325098916932,0.0,0.0,0.0
R_only,B0,R_only_minus_B0,24,3,5760,0.006039680323082008,0.21011177321293814,0.0027556539418766286,0.0010092013127519961,0.006039680323082008,0.0,0.0,0.0
R_only,B0,R_only_minus_B0,24,4,5760,0.0073615990907342655,0.31215249315474947,0.0024693018439742496,-0.00032135511036152857,0.0073615990907342655,0.0,0.0,0.0
NR_both,B0,NR_both_minus_B0,24,0,5760,0.0045851814325180325,0.12109759931006277,0.0020526524421694164,0.00030927361909837347,0.0045851814325180325,0.0,0.0,0.0
NR_both,B0,NR_both_minus_B0,24,1,5640,0.00870754418220506,0.4276322768636999,0.002810650932593464,-0.0005143658614579066,0.00870754418220506,0.0,0.0,0.0
NR_both,B0,NR_both_minus_B0,24,2,5760,0.01297325098916932,0.9694381894731805,0.00381108437623181,-0.000954410874588216,0.01297325098916932,0.0,0.0,0.0
NR_both,B0,NR_both_minus_B0,24,3,5760,0.006039680323082008,0.21011177321293814,0.0027556539418766286,0.0010092013127519961,0.006039680323082008,0.0,0.0,0.0
NR_both,B0,NR_both_minus_B0,24,4,5760,0.0073615990907342655,0.31215249315474947,0.0024693018439742496,-0.00032135511036152857,0.0073615990907342655,0.0,0.0,0.0
NR_both,N_only,NR_both_minus_N_only,24,0,5760,0.0045851814325180325,0.12109759931006277,0.0020526524421694164,0.00030927361909837347,0.0045851814325180325,0.0,0.0,0.0
