case,horizon,space,group,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
NB_P06,osi_target_t06h,component_clipped,common_120_215,22944,0.012788492555972624,0.003564997541974282,3.7523889123020124,0.0001058558320312889,0.012674554734460074,0.00011393782151255041,0.8989493035425733,-0.06656522772719597
NB_P06,osi_target_t06h,aligned,full,32982,0.01568562109304468,0.004832474587064349,8.11484870269741,3.9256169433098314e-05,0.01570824624527064,-2.2625152225959344e-05,-0.1440335978484586,0.023426818668704996
NB_P06,osi_target_t06h,aligned,common_120_215,22944,0.012353485456583432,0.0034354195936799566,3.501451785534565,5.636576215739654e-05,0.012325350266945725,2.8135189637706892e-05,0.22827091342920713,-0.01593102238324917
NB_P06,osi_target_t24h,component_clipped,full,28680,0.01363012843468114,0.0043960020609303575,5.328181904864508,6.563508394135092e-05,0.01363012843468114,0.0,0.0,0.0
NB_P06,osi_target_t24h,component_clipped,common_120_215,22944,0.012351184882079353,0.0035178119660870585,3.500147764792515,5.411725853369705e-05,0.012351184882079353,0.0,0.0,0.0
NB_P06,osi_target_t24h,aligned,full,28680,0.013368777098939136,0.0041917309123490655,5.125810088153708,7.894981858894295e-05,0.013426585219527803,-5.7808120588666995e-05,-0.4305496866365499,0.044425019896007
NB_P06,osi_target_t24h,aligned,common_120_215,22944,0.012353485456583432,0.0034354195936799566,3.501451785534565,5.636576215739654e-05,0.012325350266945725,2.8135189637706892e-05,0.22827091342920713,-0.01593102238324917
NB_P06,osi_target_t48h,component_clipped,full,22944,0.01234645607437439,0.0034840596165209028,3.4974681259730933,1.7980149336858274e-06,0.01234645607437439,0.0,0.0,0.0
NB_P06,osi_target_t48h,component_clipped,common_120_215,22944,0.01234645607437439,0.0034840596165209028,3.4974681259730933,1.7980149336858274e-06,0.01234645607437439,0.0,0.0,0.0
NB_P06,osi_target_t48h,aligned,full,22944,0.012353485456583432,0.0034354195936799566,3.501451785534565,5.636576215739654e-05,0.012325350266945725,2.8135189637706892e-05,0.22827091342920713,-0.01593102238324917
NB_P06,osi_target_t48h,aligned,common_120_215,22944,0.012353485456583432,0.0034354195936799566,3.501451785534565,5.636576215739654e-05,0.012325350266945725,2.8135189637706892e-05,0.22827091342920713,-0.01593102238324917
NB_P24,osi_target_t01h,component_clipped,full,34177,0.017861487700620824,0.005219315121071696,10.903582053390243,2.7250338117868578e-05,0.017861487700620824,0.0,0.0,0.0
NB_P24,osi_target_t01h,component_clipped,common_120_215,22944,0.012881572306251579,0.0036056003827212024,3.807210462182769,6.369194313091443e-05,0.012881572306251579,0.0,0.0,0.0
NB_P24,osi_target_t01h,aligned,full,34177,0.017491186042694642,0.0051013258168598145,10.456165693410185,2.322220134210009e-05,0.01751543915129438,-2.42531085997387e-05,-0.1384670312302494,0.029016938854777408
NB_P24,osi_target_t01h,aligned,common_120_215,22944,0.012333810139773057,0.0034430278074442707,3.4903071881076975,6.740397172214066e-05,0.012325350266945725,8.459872827331835e-06,0.06863799116541003,-0.004786424956381818
