case,horizon,start,end,common_target,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
B0,osi_target_t48h,144,215,False,17208,0.006820769116646474,0.0015425792030725142,0.8005659142234318,-0.00019162948224700884,0.006820769116646474,0.0,0.0,0.0
B0,osi_target_t48h,120,215,True,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
NB_P06,osi_target_t01h,73,76,False,956,0.023564781526417063,0.00639516555292622,0.5308657755387052,-0.00042991651861295414,0.023564781526417063,0.0,0.0,0.0
NB_P06,osi_target_t01h,77,95,False,4541,0.018174892348066973,0.005973345214294393,1.5000135985736218,-0.00029267679047765226,0.01817013743080561,4.754917261363262e-06,0.026168856892083703,-0.0007847647645591316
NB_P06,osi_target_t01h,96,143,False,11472,0.01012281813146965,0.00444668913738022,1.1755524390984844,0.00010098433255205566,0.01018711961213732,-6.430148066766984e-05,-0.6312037466513987,0.01498196244165717
NB_P06,osi_target_t01h,144,215,False,17208,0.00685678305008488,0.0014838128913070398,0.8090422730803859,-0.00022524458539644325,0.006839871177132626,1.6911872952253548e-05,0.24725426129068584,-0.003985993598589532
NB_P06,osi_target_t01h,120,215,True,22944,0.007728426516950017,0.0021889333147577256,1.3704124575616496,-0.00013633622258188668,0.007719715877085945,8.710639864071765e-06,0.11283627535991769,-0.0030874181746789464
NB_P06,osi_target_t06h,73,76,False,0,,,0.0,,,,,0.0
NB_P06,osi_target_t06h,77,95,False,4302,0.017065429275213644,0.005857620824752152,1.2528666260461656,-0.00024906774095772693,0.017060083755936113,5.345519277531047e-06,0.03133348788906254,-0.0007847647645591316
NB_P06,osi_target_t06h,96,143,False,11472,0.01012281813146965,0.00444668913738022,1.1755524390984844,0.00010098433255205566,0.01018711961213732,-6.430148066766984e-05,-0.6312037466513987,0.01498196244165717
NB_P06,osi_target_t06h,144,215,False,17208,0.00685678305008488,0.0014838128913070398,0.8090422730803859,-0.00022524458539644325,0.006839871177132626,1.6911872952253548e-05,0.24725426129068584,-0.003985993598589532
NB_P06,osi_target_t06h,120,215,True,22944,0.007728426516950017,0.0021889333147577256,1.3704124575616496,-0.00013633622258188668,0.007719715877085945,8.710639864071765e-06,0.11283627535991769,-0.0030874181746789464
NB_P06,osi_target_t24h,73,76,False,0,,,0.0,,,,,0.0
NB_P06,osi_target_t24h,77,95,False,0,,,0.0,,,,,0.0
NB_P06,osi_target_t24h,96,143,False,11472,0.010616169485079483,0.004753144773278289,1.292929441636221,4.1102281061094314e-05,0.010616169485079483,0.0,0.0,0.0
NB_P06,osi_target_t24h,144,215,False,17208,0.006713761658672963,0.001521997783465929,0.7756436412477103,-0.00016572547623682578,0.006713761658672963,0.0,0.0,0.0
NB_P06,osi_target_t24h,120,215,True,22944,0.007738976522688962,0.0022723063915952883,1.3741564868041627,-0.00011090911790532663,0.007738976522688962,0.0,0.0,0.0
NB_P06,osi_target_t48h,73,76,False,0,,,0.0,,,,,0.0
NB_P06,osi_target_t48h,77,95,False,0,,,0.0,,,,,0.0
