cv_seed,pair,candidate,reference,horizon,severity,n,rmse,mae,sse,sae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
20260917,I3_minus_I2,I3,I2,24,above_.05,311,0.06649538746574478,0.054467825210477036,1.3751289683622732,16.93949364045836,-0.050714659047941306,0.06674139246881923,-0.00024600500307445095,-0.36859435198236534,0.010193620396261593
20260917,I3_minus_I2,I3,I2,48,zero,10947,0.002045551801041287,0.0004504432102818099,0.0458053369231264,4.931001822954973,0.0004504432102818099,0.002045551801041287,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,48,0_to_.01,10861,0.0035346692361171903,0.0019564544179649294,0.13569610245766942,21.2490514335171,0.0007121920662803519,0.0035346692361171903,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,48,.01_to_.05,985,0.015246411085895126,0.012432611309621507,0.22896625523510422,12.246122139977185,-0.01165149350068931,0.015246411085895126,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,48,above_.05,151,0.08148202924350594,0.07100900333885055,1.002537484535573,10.722359504166432,-0.07100900333885055,0.08148202924350594,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,1,zero,14503,0.0020319039432410684,0.0005998331509109966,0.05987757360200343,8.699380187662184,0.0005998331509109966,0.0020319039432410684,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,1,0_to_.01,16098,0.004379462591403576,0.0024657201551320164,0.3087546913058245,39.6931630573152,0.0015306337979950789,0.004379462591403576,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,1,.01_to_.05,2628,0.01520912722926328,0.011179501973575699,0.6079025242275118,29.37973118655694,-0.005298476295003466,0.01520912722926328,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,1,above_.05,948,0.058152119594827544,0.035541544886172595,3.205822224675827,33.69338455209162,-0.026401520079163496,0.058152119594827544,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,6,zero,14147,0.0020175439282879765,0.0005998256935657604,0.057585130110881566,8.485734086874812,0.0005998256935657604,0.0020175439282879765,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,6,0_to_.01,15675,0.004364799759374029,0.002464211356993894,0.29863190102559,38.62651302087929,0.0015219915682885509,0.004364799759374029,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,6,.01_to_.05,2421,0.01508760580791058,0.011355427847019945,0.5511063904650657,27.491490817635288,-0.006186074590198299,0.01508760580791058,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,6,above_.05,739,0.05751819432563752,0.03878598861395262,2.4448652393980503,28.662845585710986,-0.030551899349688563,0.05751819432563752,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,24,zero,12791,0.0022956190087150626,0.0005411177054947668,0.06740686410492769,6.921436570983562,0.0005411177054947668,0.0023451584204515078,-4.9539411736445205e-05,-2.1124121639043647,0.0029406686007062005
20260917,I2_minus_I1,I2,I1,24,0_to_.01,13815,0.004686512124433583,0.002471190340816598,0.30342431425437594,34.1394945583813,0.0013413750897650085,0.004545793419872903,0.0001407187045606795,3.0955807174496197,-0.017947868824128577
20260917,I2_minus_I1,I2,I1,24,.01_to_.05,1763,0.014481190180856656,0.01167619075893122,0.3697096841424474,20.58512430799574,-0.00985007704396522,0.014714487366605309,-0.00023329718574865294,-1.5854931261698124,0.012008267966036046
20260917,I2_minus_I1,I2,I1,24,above_.05,311,0.06674139246881923,0.05461982926363734,1.3853225887585348,16.986766900991213,-0.050718497472553005,0.06630480364785557,0.0004365888209636598,0.6584573016494844,-0.018064895869742692
20260917,I2_minus_I1,I2,I1,48,zero,10947,0.002045551801041287,0.0004504432102818099,0.0458053369231264,4.931001822954973,0.0004504432102818099,0.002045551801041287,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,48,0_to_.01,10861,0.0035346692361171903,0.0019564544179649294,0.13569610245766942,21.2490514335171,0.0007121920662803519,0.0035346692361171903,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,48,.01_to_.05,985,0.015246411085895126,0.012432611309621507,0.22896625523510422,12.246122139977185,-0.01165149350068931,0.015246411085895126,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,48,above_.05,151,0.08148202924350594,0.07100900333885055,1.002537484535573,10.722359504166432,-0.07100900333885055,0.08148202924350594,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,1,zero,14503,0.0020319039432410684,0.0005998331509109966,0.05987757360200343,8.699380187662184,0.0005998331509109966,0.0020319039432410684,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,1,0_to_.01,16098,0.004379462591403576,0.0024657201551320164,0.3087546913058245,39.6931630573152,0.0015306337979950789,0.004379462591403576,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,1,.01_to_.05,2628,0.01520912722926328,0.011179501973575699,0.6079025242275118,29.37973118655694,-0.005298476295003466,0.01520912722926328,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,1,above_.05,948,0.058152119594827544,0.035541544886172595,3.205822224675827,33.69338455209162,-0.026401520079163496,0.058152119594827544,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,6,zero,14147,0.0020175439282879765,0.0005998256935657604,0.057585130110881566,8.485734086874812,0.0005998256935657604,0.0020175439282879765,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,6,0_to_.01,15675,0.004364799759374029,0.002464211356993894,0.29863190102559,38.62651302087929,0.0015219915682885509,0.004364799759374029,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,6,.01_to_.05,2421,0.01508760580791058,0.011355427847019945,0.5511063904650657,27.491490817635288,-0.006186074590198299,0.01508760580791058,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,6,above_.05,739,0.05751819432563752,0.03878598861395262,2.4448652393980503,28.662845585710986,-0.030551899349688563,0.05751819432563752,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,24,zero,12791,0.0023451584204515078,0.000689690477717442,0.07034753270563389,8.8218309004838,0.000689690477717442,0.0023451584204515078,0.0,0.0,0.0
