cv_seed,pair,candidate,reference,horizon,target_day,n,rmse,mae,sse,sae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
20260918,I1_minus_B0,I1,B0,1,2026-03-16,5736,0.00886352223086003,0.004231383391412293,0.45063178306874485,24.271215133140913,0.0002917806653443989,0.00886352223086003,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,1,2026-03-17,5736,0.008495589056218732,0.0032088541195165834,0.4139959916520551,18.405987229547122,-0.0001734273707099576,0.008495589056218732,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,1,2026-03-18,5736,0.005609964627946924,0.0008198166313660505,0.18052168913541466,4.702468197515666,6.691271237164087e-05,0.005609964627946924,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,1,2026-03-19,5736,0.0018379112261636078,0.00036201558574552525,0.019375735785281126,2.076521399836333,4.4570224295826095e-05,0.0018379112261636078,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,6,2026-03-14,4302,0.01727585081495408,0.005946222831971463,1.283953501979124,25.580650623141235,-0.0003820100519784573,0.01727585081495408,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,6,2026-03-15,5736,0.010719143393607489,0.00472218613855312,0.6590666012918367,27.086459690740696,-0.00017488376019428746,0.010719143393607489,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,6,2026-03-16,5736,0.00886352223086003,0.004231383391412293,0.45063178306874485,24.271215133140913,0.0002917806653443989,0.00886352223086003,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,6,2026-03-17,5736,0.008495589056218732,0.0032088541195165834,0.4139959916520551,18.405987229547122,-0.0001734273707099576,0.008495589056218732,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,6,2026-03-18,5736,0.005609964627946924,0.0008198166313660505,0.18052168913541466,4.702468197515666,6.691271237164087e-05,0.005609964627946924,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,6,2026-03-19,5736,0.0018379112261636078,0.00036201558574552525,0.019375735785281126,2.076521399836333,4.4570224295826095e-05,0.0018379112261636078,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,24,2026-03-15,5736,0.011332641102976925,0.005120078305737693,0.7366673350599073,29.368769161711406,-0.00021836819129521283,0.011332641102976925,0.0,0.0,0.0
