model,fipsCode,outer_fold,horizon,rmse,mae,n,sse,sae,evaluation_status
B4_gru_no_future,54015,2,osi_target_t01h,0.050525386944371406,0.02662154817873314,143,0.3650524914264679,3.8068811893463135,strict_nested_cv
B4_gru_no_future,54019,2,osi_target_t01h,0.0058656369184831095,0.002971461373130983,143,0.004920014645904303,0.4249189794063568,strict_nested_cv
B4_gru_no_future,54023,4,osi_target_t01h,0.0021541698860461814,0.0015782024818729004,143,0.0006635840982198715,0.22568294405937195,strict_nested_cv
B4_gru_no_future,54025,0,osi_target_t01h,0.0015898843780487947,0.0008024632141797582,143,0.0003614657325670123,0.11475224047899246,strict_nested_cv
B4_gru_no_future,54027,4,osi_target_t01h,0.0022538327672899797,0.0016091707275209173,143,0.0007264059968292713,0.23011140525341034,strict_nested_cv
B4_gru_no_future,54029,4,osi_target_t01h,0.012453286825279861,0.006836773222902549,143,0.022177061066031456,0.9776585698127747,strict_nested_cv
B4_gru_no_future,54031,4,osi_target_t01h,0.0018636114029720332,0.0011499808910726147,143,0.0004966458072885871,0.16444726288318634,strict_nested_cv
B4_gru_no_future,54033,4,osi_target_t01h,0.0032671069786763037,0.0018178481286858904,143,0.0015263803070411086,0.25995227694511414,strict_nested_cv
B4_gru_no_future,54035,0,osi_target_t01h,0.00293919923456771,0.0016826411312929569,143,0.0012353615602478385,0.24061766266822815,strict_nested_cv
B4_gru_no_future,54037,1,osi_target_t01h,0.00346215044375591,0.001695294962523072,143,0.0017140675336122513,0.24242717027664185,strict_nested_cv
B4_gru_no_future,54039,3,osi_target_t01h,0.0028115748563444154,0.0014839022657654893,143,0.0011304083745926619,0.21219801902770996,strict_nested_cv
B4_gru_no_future,54041,4,osi_target_t01h,0.014348610671519893,0.0034517323895613176,143,0.029441216960549355,0.49359774589538574,strict_nested_cv
B4_gru_no_future,54043,2,osi_target_t01h,0.008429658089088795,0.0037010134816685874,143,0.01016145758330822,0.5292448997497559,strict_nested_cv
B4_gru_no_future,54045,4,osi_target_t01h,0.009338647856560293,0.004458609202056895,143,0.012471078895032406,0.6375811100006104,strict_nested_cv
B4_gru_no_future,54047,3,osi_target_t01h,0.004776402340277893,0.0028837627744594412,143,0.0032624048180878162,0.41237807273864746,strict_nested_cv
B4_gru_no_future,54053,1,osi_target_t01h,0.001737224264424567,0.0010586439999645916,143,0.00043156661558896303,0.151386097073555,strict_nested_cv
B4_gru_no_future,54055,0,osi_target_t01h,0.0021583432585633457,0.0010190258377864208,143,0.0006661576917394996,0.1457206904888153,strict_nested_cv
B4_gru_no_future,54057,0,osi_target_t01h,0.0016831236014832698,0.0011241630234037545,143,0.00040510541293770075,0.16075530648231506,strict_nested_cv
B4_gru_no_future,54059,1,osi_target_t01h,0.01451875804166532,0.008607185673417598,143,0.03014359250664711,1.2308275699615479,strict_nested_cv
B4_gru_no_future,54063,2,osi_target_t01h,0.001919068822622462,0.0010307443936634646,143,0.0005266439984552562,0.14739644527435303,strict_nested_cv
