split_seed,horizon,mode,term_a,term_b,term_type,sse_term,total_osi_sse,N_signed_allocation
20260918,48,main,P,b,twice_cross,0.0007963414095272087,1.2516773089381812,0.10946624293915944
20260918,48,main,N,N,square,0.033859380432411795,1.2516773089381812,0.10946624293915944
20260918,48,main,N,D,twice_cross,0.026795907258689203,1.2516773089381812,0.10946624293915944
20260918,48,main,N,R,twice_cross,-0.006890979922059243,1.2516773089381812,0.10946624293915944
20260918,48,main,N,b,twice_cross,0.00013057263513980647,1.2516773089381812,0.10946624293915944
20260918,48,main,D,D,square,0.15380508281973582,1.2516773089381812,0.10946624293915944
20260918,48,main,D,R,twice_cross,-0.019053488918372392,1.2516773089381812,0.10946624293915944
20260918,48,main,D,b,twice_cross,0.0003751893838719153,1.2516773089381812,0.10946624293915944
20260918,48,main,R,R,square,0.002493799544502821,1.2516773089381812,0.10946624293915944
20260918,48,main,R,b,twice_cross,-2.601492419817542e-05,1.2516773089381812,0.10946624293915944
20260918,48,main,b,b,square,0.0020215893533376515,1.2516773089381812,0.10946624293915944
