horizon,fipsCode,countyName,stateAbbr,fold,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
1,39069,Henry County,OH,0,143,0.002608498907533493,0.00097301011673629,0.0012031704384975,-0.0009547620318071958,0.0026003967299501776,8.102177583315523e-06,0.3115746720490087,-6.035085837902479e-06
1,39073,Hocking County,OH,2,143,0.002989695912783054,0.001278174276080373,0.00217182728458646,0.0015063116915332252,0.003040145641475577,-5.044972869252271e-05,-1.6594510474845614,4.3501153477388177e-05
1,39075,Holmes County,OH,3,143,0.011839281460059714,0.020044107725143458,0.006575930402277938,-0.002723763454221477,0.011684644099407856,0.0001546373606518582,1.3234237973897223,-0.0005201879197782207
1,39077,Huron County,OH,1,143,0.00465009852288903,0.0030921485269781875,0.0029291193790009005,0.002801892656451686,0.004624739595390625,2.5358927498404966e-05,0.5483320082211751,-3.363359247832891e-05
1,39081,Jefferson County,OH,4,143,0.011068425770391093,0.01751893701195605,0.006350461600864853,0.0018666168770257979,0.011090598778898788,-2.217300850769488e-05,-0.19992616223645232,7.02605102990625e-05
1,39085,Lake County,OH,2,143,0.002513502838001635,0.0009034306018798452,0.0014922367516846853,-0.00012505510053109674,0.0025172516907024383,-3.7488527008032284e-06,-0.14892641505216409,2.696916751387425e-06
1,39087,Lawrence County,OH,3,143,0.0036186816239220775,0.0018725645074295194,0.0012165492906346437,6.852823838085206e-05,0.0036243352867927066,-5.653662870629041e-06,-0.155991717742876,5.8557893364609166e-06
1,39089,Licking County,OH,1,143,0.020023148381426558,0.05733248536796137,0.008407575861040028,-0.007366194430102525,0.020018564466913837,4.583914512721471e-06,0.02289831781043805,-2.6247333775472614e-05
1,39091,Logan County,OH,3,143,0.012704200365780705,0.02307972909154807,0.009377674850592349,0.008609051684538405,0.012685758429234122,1.844193654658259e-05,0.14537512005654563,-6.695832128957718e-05
1,39093,Lorain County,OH,3,143,0.0016509761769775584,0.0003897782941834831,0.0009856044846386393,-0.00021356888823231924,0.001679450906995148,-2.8474730017589468e-05,-1.6954785578422227,1.356112072449289e-05
1,39095,Lucas County,OH,1,143,0.0014645527171322189,0.0003067227965600892,0.0008973736610258198,-0.0007009394905841454,0.0014767095449588262,-1.2156827826607323e-05,-0.8232375735707897,5.113167904578807e-06
1,39097,Madison County,OH,4,143,0.008849434167041701,0.011198685365983124,0.0034486532192756023,0.0008728174009988703,0.008851898372373353,-2.46420533165162e-06,-0.02783815660765132,6.237619676998166e-06
1,39099,Mahoning County,OH,0,143,0.001987224956612973,0.0005647160130305168,0.0011383876342439226,0.0005492017975189366,0.001999120948087934,-1.1895991474961207e-05,-0.5950611185550958,6.78127977649524e-06
1,39101,Marion County,OH,0,143,0.006200942538196864,0.005498591435768769,0.004724957653146256,-0.0018865607347652961,0.006264542970961692,-6.360043276482791e-05,-1.0152445766536844,0.00011337186903988359
1,39103,Medina County,OH,4,143,0.006386711855561542,0.005832982630613762,0.004089362304905038,0.0036505290401293014,0.006356345314875512,3.0366540686030223e-05,0.47773585577493005,-5.533564665636051e-05
1,39105,Meigs County,OH,1,143,0.003525234452112766,0.0017771007457578793,0.0015980995995465478,-0.000364454531724006,0.0034582791562706213,6.695529584214467e-05,1.9360870773182048,-6.68644004123743e-05
1,39107,Mercer County,OH,3,143,0.01864788384372988,0.049727330774441594,0.010121824058998292,0.010092453429627665,0.01869315190043016,-4.5268056700277504e-05,-0.24216385198921886,0.000241720925633869
1,39109,Miami County,OH,1,143,0.0015703292466035825,0.0003526285538116162,0.0009590725508621537,0.0005087080980389726,0.0015643264112151318,6.00283538845065e-06,0.383732918233326,-2.690805533610643e-06
1,39111,Monroe County,OH,2,143,0.018584052624024853,0.04938748270635107,0.010338991687267351,0.009900577617971903,0.01856703248721622,1.70201368086334e-05,0.09166858958400415,-9.042126681908791e-05
1,39113,Montgomery County,OH,4,143,0.0014660749419046488,0.00030736073014514287,0.0007699886536622842,-0.0007346096712006257,0.0014687553545092151,-2.680412604566312e-06,-0.18249551202228487,1.1249175249842917e-06
1,39115,Morgan County,OH,2,143,0.03169196139644137,0.14362639965295476,0.006780987745075447,-0.005087116031489689,0.031686547474853145,5.4139215882251235e-06,0.017085867725175063,-4.906705766929975e-05
1,39117,Morrow County,OH,4,143,0.015525723187270647,0.03446987550974874,0.009738408852938071,-0.0004488800191864514,0.015593940218989697,-6.821703171904989e-05,-0.4374585945634002,0.00030357342239095697
1,39119,Muskingum County,OH,1,143,0.02192148079437232,0.06871883879117893,0.014797545625347136,0.01477097219877371,0.021970577270443388,-4.909647607106646e-05,-0.22346466124545383,0.0003081571891239421
1,39121,Noble County,OH,1,143,0.008418641806414653,0.010134914770653898,0.004806388846795475,-0.004582459535909148,0.008237084011537728,0.0001815577948769253,2.2041513067320384,-0.0004324286897762434
1,39123,Ottawa County,OH,0,143,0.0013885391119189574,0.0002757098437420022,0.0005579534106243716,0.00017504530713871214,0.0014185542688425073,-3.0015156923549882e-05,-2.1158976841993637,1.2048514810133776e-05
1,39125,Paulding County,OH,1,143,0.017406305650488566,0.04332606512494691,0.009284145412921215,0.001989253090748266,0.01741014657304243,-3.840922553864645e-06,-0.022061402744377734,1.912300341250922e-05
1,39127,Perry County,OH,0,143,0.012212945292614533,0.021329312679016554,0.007507465981897873,0.005844378696322366,0.012298468891562076,-8.552359894754315e-05,-0.6954003762713934,0.0002997715229544236
1,39129,Pickaway County,OH,2,143,0.0010520902262429177,0.00015828581971428994,0.0005328970388588146,-0.0001842508427960747,0.0010371388017082158,1.4951424534701907e-05,1.441603043881523,-4.466883871038135e-06
1,39131,Pike County,OH,3,143,0.005404128750026844,0.004176258879201937,0.002042802924743755,-0.0013014092425254191,0.005377871395033797,2.6257354993047127e-05,0.48824810160568166,-4.0484273164183467e-05
1,39133,Portage County,OH,0,143,0.005269583090546088,0.003970896350588205,0.003231014173921937,-0.0017769387835363053,0.005280144205008037,-1.0561114461948677e-05,-0.20001564449568798,1.5932613484028954e-05
1,39135,Preble County,OH,0,143,0.005303578429979123,0.0040222960153003945,0.0025750992064554543,-0.0024579295922690504,0.0053370888135717024,-3.351038359257919e-05,-0.62787757077164,5.09899162647702e-05
1,39137,Putnam County,OH,0,143,0.010064629405834656,0.014485437405981206,0.00483791665606551,-0.0009388236945382576,0.010004681354046285,5.994805178837111e-05,0.599200011144041,-0.0001720455995530036
1,39139,Richland County,OH,2,143,0.011374179694789835,0.018500190813299823,0.008228467040283856,-0.007695552905483289,0.01131438850972046,5.9791185069374767e-05,0.5284526425622271,-0.00019399042240792613
1,39141,Ross County,OH,3,143,0.0018202758085386864,0.0004738167747386172,0.0010685440318084197,0.0009276734011746031,0.001855614970139054,-3.5339161600367536e-05,-1.9044447349828908,1.8576114450178033e-05
1,39143,Sandusky County,OH,4,143,0.0014824362203825125,0.0003142592520927845,0.0010535452249128762,0.0009045066559902244,0.0015232733861598954,-4.083716577738287e-05,-2.6808822466419913,1.755248659178932e-05
1,39145,Scioto County,OH,3,143,0.001340072399839818,0.00025679854726418024,0.0007087720799315629,0.00039310394172515,0.0012987991167781611,4.127328306165689e-05,3.1778034438490144,-1.557482942282664e-05
