case,horizon,space,P71_group,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
AB_P48,osi_target_t06h,component_clipped,.1<=p<.5,4968,0.02710828102971857,0.01138518065404539,3.65077901711864,0.00017791971378173884,0.02710828102971857,0.0,0.0,0.0
AB_P48,osi_target_t06h,component_clipped,.5<=p<=1,276,0.03270639871119677,0.015154174127632113,0.29523955059699364,-0.008791763222997902,0.03270639871119677,0.0,0.0,0.0
AB_P48,osi_target_t06h,aligned,p=0,7314,0.015759983423195636,0.003908253148680667,1.8166299448306211,-0.0005160339290388585,0.01550175097146026,0.00025823245173537714,1.665827635928352,-0.059044417643550506
AB_P48,osi_target_t06h,aligned,0<p<.01,12006,0.01194932962943849,0.0032536246550808837,1.714294461987277,-0.0001577284910354026,0.011763750084226613,0.00018557954521187733,1.5775542992936487,-0.05283435456131258
AB_P48,osi_target_t06h,aligned,.01<=p<.1,8418,0.012856746014992442,0.004917006547294209,1.3914610385154942,0.0012311472139135567,0.012886121587861645,-2.937557286920335e-05,-0.22796287206287014,0.00636578826498746
AB_P48,osi_target_t06h,aligned,.1<=p<.5,4968,0.02527940922405594,0.010448359811034882,3.1747931006034698,-6.443446169328366e-05,0.02526537423924385,1.403498481208909e-05,0.05555027477206487,-0.003524275692605272
AB_P48,osi_target_t06h,aligned,.5<=p<=1,276,0.02074868666104654,0.011349921074543615,0.11882020749168822,-0.0020926034660344217,0.02087118434522687,-0.00012249768418032964,-0.5869225346971985,0.001407141236706086
AB_P48,osi_target_t24h,component_clipped,p=0,6360,0.015471878031553497,0.004425016103498078,1.5224505024759827,-0.00018127263799395412,0.015471878031553497,0.0,0.0,0.0
AB_P48,osi_target_t24h,component_clipped,0<p<.01,10440,0.012614773398161382,0.003447170890607934,1.6613433823398627,-0.0002739953543550755,0.012614773398161382,0.0,0.0,0.0
AB_P48,osi_target_t24h,component_clipped,.01<=p<.1,7320,0.012386829927381937,0.004085479302080477,1.1231336273571566,0.0008049739554067755,0.012386829927381937,0.0,0.0,0.0
