horizon,fipsCode,countyName,sse_reduction_split42,sse_reduction_split20260917,sse_reduction_split20260918,confirmation_improved_splits,confirmation_worsened_splits
osi_target_t01h,42049,Erie County,2.844199817710752e-05,-2.553668744905563e-05,-1.7652320325842186e-05,0,2
osi_target_t01h,42051,Fayette County,5.136769895844524e-05,6.266989562679496e-05,3.906847940230796e-05,2,0
osi_target_t01h,42053,Forest County,-0.0004551085259414389,-0.01261703682979376,0.012241392576362253,1,1
osi_target_t01h,42055,Franklin County,8.899650594140719e-06,-9.39469951604906e-06,1.4093991001882405e-06,1,1
osi_target_t01h,42057,Fulton County,2.9236938218620608e-05,3.6567909681785348e-06,-5.4965092777717285e-05,1,1
osi_target_t01h,42059,Greene County,0.00019845380981372424,-4.466345377618017e-05,9.345263426013828e-05,1,1
osi_target_t01h,42061,Huntingdon County,4.77855221213267e-06,1.1473337676156151e-05,0.00010071002880833457,2,0
osi_target_t01h,42063,Indiana County,0.002223170628274736,0.0014973602299221019,0.004021049699458722,2,0
osi_target_t01h,42065,Jefferson County,-0.00042224787300070704,-0.0009456290668187553,0.0009169167088633814,1,1
osi_target_t01h,42067,Juniata County,2.8057839819360273e-05,1.7169292475881443e-05,-1.6453563711635137e-05,1,1
osi_target_t01h,42069,Lackawanna County,1.2390871580125707e-06,-0.00011426069703550303,-4.5335000064058864e-05,0,2
osi_target_t01h,42075,Lebanon County,-3.530580819787778e-05,7.811492724010827e-05,1.0272451853895852e-05,2,0
osi_target_t01h,42077,Lehigh County,-2.995480256427958e-05,-4.361654017626636e-05,3.4468342061166456e-05,1,1
osi_target_t01h,42079,Luzerne County,-3.124930538237917e-05,-5.405326109592882e-06,2.7759508696877024e-06,1,1
osi_target_t01h,42081,Lycoming County,-4.483622389354468e-06,-0.00010652796898105157,0.00011094965099497575,1,1
osi_target_t01h,42083,McKean County,-1.7863885520280273e-05,-1.9492181563035733e-07,2.0610820793601605e-05,1,1
osi_target_t01h,42085,Mercer County,0.0003032896297367211,0.00011471977494872335,-0.00033152323310311907,1,1
osi_target_t01h,42089,Monroe County,6.18739001016339e-05,6.928247242530628e-05,4.3376746101342085e-05,2,0
