case,horizon,fipsCode,countyName,stateAbbr,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
AB_P48,osi_target_t06h,39117,Morrow County,OH,4,138,0.016501872165871765,0.00856861330024817,0.03757902632707072,-0.004053533161762757,0.016631791963926442,-0.00012991979805467707,-0.7811533377549917,0.0005940512154525707
AB_P48,osi_target_t06h,42053,Forest County,PA,3,138,0.0689929636594606,0.023786794149137532,0.6568840067631598,-0.015738827430510516,0.06899869105176959,-5.727392308987889e-06,-0.008300726030718852,0.00010906586318193412
AB_P48,osi_target_t06h,42131,Wyoming County,PA,3,138,0.016058126630752338,0.0036192886817798782,0.03558515346272029,-0.003291432877493235,0.016054443099013296,3.6835317390425393e-06,0.02294400195836932,-1.6323698435419254e-05
AB_P48,osi_target_t06h,54013,Calhoun County,WV,2,138,0.04491632902532316,0.022921087008359667,0.27841177260933003,-0.021506006208560708,0.043961679553853834,0.0009546494714693238,2.171549133603645,-0.011708933460319204
AB_P48,osi_target_t06h,54015,Clay County,WV,2,138,0.05215951476329307,0.027598969199788888,0.37544486728722193,-0.02579678905369991,0.05130309575083716,0.0008564190124559085,1.669332035273774,-0.012227813847721813
AB_P48,osi_target_t24h,18013,Brown County,IN,1,120,0.03153700980103376,0.01482460369417611,0.1193499584628599,-0.01075469130344238,0.03153700980103376,0.0,0.0,0.0
AB_P48,osi_target_t24h,39115,Morgan County,OH,2,120,0.034499643150416315,0.00721839044620487,0.1428270453007281,-0.006947427368440506,0.034499643150416315,0.0,0.0,0.0
AB_P48,osi_target_t24h,39117,Morrow County,OH,4,120,0.010524015799697988,0.006757672471641796,0.013290589026275147,-0.002960359814500594,0.010524015799697988,0.0,0.0,0.0
AB_P48,osi_target_t24h,42053,Forest County,PA,3,120,0.009525734075397033,0.006175675980179049,0.01088875316102162,0.0005308360007856643,0.009525734075397033,0.0,0.0,0.0
AB_P48,osi_target_t24h,42131,Wyoming County,PA,3,120,0.0028883454953760176,0.0013174706322344623,0.001001104764079072,-0.0010119242601644286,0.0028883454953760176,0.0,0.0,0.0
