component,horizon,model,subset,threshold,actual_zero_pct,rmse,mae,n
N_t,osi_target_t24h,static_convex,zero,0.0,60.61018131101813,0.0006614295718817648,0.0003588150930649181,17383
N_t,osi_target_t24h,safe_convex,zero,0.0,60.61018131101813,0.0006614295718817649,0.0003588150930649181,17383
N_t,osi_target_t24h,lightgbm,positive,0.0,60.61018131101813,0.005883019671498828,0.0015485955999014979,11297
N_t,osi_target_t24h,xgboost,positive,0.0,60.61018131101813,0.005945836858156207,0.0014476949730575811,11297
N_t,osi_target_t24h,catboost,positive,0.0,60.61018131101813,0.005962352476501776,0.0014655089438642456,11297
N_t,osi_target_t24h,simple_average,positive,0.0,60.61018131101813,0.005911815720413124,0.0014672050334973107,11297
N_t,osi_target_t24h,static_convex,positive,0.0,60.61018131101813,0.00591759749478654,0.0014929951035523087,11297
N_t,osi_target_t24h,safe_convex,positive,0.0,60.61018131101813,0.00591759749478654,0.0014929951035523087,11297
N_t,osi_target_t24h,lightgbm,positive_tail_95,0.0066011457999999796,60.61018131101813,0.025606241610071127,0.016324928948511414,565
N_t,osi_target_t24h,xgboost,positive_tail_95,0.0066011457999999796,60.61018131101813,0.02604478778738196,0.016562845873916644,565
N_t,osi_target_t24h,catboost,positive_tail_95,0.0066011457999999796,60.61018131101813,0.02610178618513079,0.016749776863051676,565
N_t,osi_target_t24h,simple_average,positive_tail_95,0.0066011457999999796,60.61018131101813,0.025899653297349702,0.01653585957406352,565
N_t,osi_target_t24h,static_convex,positive_tail_95,0.0066011457999999796,60.61018131101813,0.025905647427070418,0.01655447037395262,565
N_t,osi_target_t24h,safe_convex,positive_tail_95,0.0066011457999999796,60.61018131101813,0.025905647427070418,0.01655447037395262,565
D_t,osi_target_t24h,lightgbm,zero,0.0,26.11924686192469,0.003197206041843987,0.0017036262911799022,7491
D_t,osi_target_t24h,xgboost,zero,0.0,26.11924686192469,0.002877756052280377,0.001098862106668265,7491
D_t,osi_target_t24h,catboost,zero,0.0,26.11924686192469,0.0027131288397564393,0.001075911131607424,7491
D_t,osi_target_t24h,simple_average,zero,0.0,26.11924686192469,0.0027181112160958804,0.0012927998431518637,7491
D_t,osi_target_t24h,static_convex,zero,0.0,26.11924686192469,0.002943154238623457,0.0015278823211094168,7491
D_t,osi_target_t24h,safe_convex,zero,0.0,26.11924686192469,0.0029431542386234586,0.0015278823211094179,7491
D_t,osi_target_t24h,lightgbm,positive,0.0,26.11924686192469,0.01342036117510987,0.005412674310707826,21189
D_t,osi_target_t24h,xgboost,positive,0.0,26.11924686192469,0.013737170873850967,0.005047859994812681,21189
D_t,osi_target_t24h,catboost,positive,0.0,26.11924686192469,0.01382812534200536,0.005130171139790072,21189
D_t,osi_target_t24h,simple_average,positive,0.0,26.11924686192469,0.013416374460475585,0.005063951212742063,21189
D_t,osi_target_t24h,static_convex,positive,0.0,26.11924686192469,0.01350029093737213,0.00526641766396496,21189
D_t,osi_target_t24h,safe_convex,positive,0.0,26.11924686192469,0.01350029093737213,0.005266417663964962,21189
D_t,osi_target_t24h,lightgbm,positive_tail_95,0.030685749799999985,26.11924686192469,0.05405178875638462,0.040228336225005254,1060
D_t,osi_target_t24h,xgboost,positive_tail_95,0.030685749799999985,26.11924686192469,0.05463972822411093,0.03903789446880646,1060
D_t,osi_target_t24h,catboost,positive_tail_95,0.030685749799999985,26.11924686192469,0.055160009941489244,0.04023969741428222,1060
D_t,osi_target_t24h,simple_average,positive_tail_95,0.030685749799999985,26.11924686192469,0.05409118414862887,0.03922702502870112,1060
D_t,osi_target_t24h,static_convex,positive_tail_95,0.030685749799999985,26.11924686192469,0.05440996885219467,0.04008528282585459,1060
D_t,osi_target_t24h,safe_convex,positive_tail_95,0.030685749799999985,26.11924686192469,0.05440996885219467,0.0400852828258546,1060
R_t,osi_target_t24h,lightgbm,zero,0.0,52.74755927475593,0.0008145237279109017,0.000477142440212235,15128
R_t,osi_target_t24h,xgboost,zero,0.0,52.74755927475593,0.0005739745094039408,0.00028437568547456834,15128
R_t,osi_target_t24h,catboost,zero,0.0,52.74755927475593,0.0006651859409167055,0.0003308975553757909,15128
R_t,osi_target_t24h,simple_average,zero,0.0,52.74755927475593,0.0006306918581679591,0.0003641385603541981,15128
R_t,osi_target_t24h,static_convex,zero,0.0,52.74755927475593,0.0006368763442691556,0.00038044433712501526,15128
R_t,osi_target_t24h,safe_convex,zero,0.0,52.74755927475593,0.0006368763442691573,0.000380444337125016,15128
R_t,osi_target_t24h,lightgbm,positive,0.0,52.74755927475593,0.004939944850496687,0.0014258060431420311,13552
R_t,osi_target_t24h,xgboost,positive,0.0,52.74755927475593,0.0049788419606899255,0.0013298981652763928,13552
R_t,osi_target_t24h,catboost,positive,0.0,52.74755927475593,0.004942051188305661,0.0013582160280171036,13552
R_t,osi_target_t24h,simple_average,positive,0.0,52.74755927475593,0.004934759830946776,0.0013505491500944325,13552
R_t,osi_target_t24h,static_convex,positive,0.0,52.74755927475593,0.004943967078737446,0.0013635886688056025,13552
R_t,osi_target_t24h,safe_convex,positive,0.0,52.74755927475593,0.004943967078737445,0.001363588668805603,13552
R_t,osi_target_t24h,lightgbm,positive_tail_95,0.0064156185499999905,52.74755927475593,0.02138778782641672,0.013662335975085906,678
R_t,osi_target_t24h,xgboost,positive_tail_95,0.0064156185499999905,52.74755927475593,0.02170993231563866,0.013965088375627153,678
R_t,osi_target_t24h,catboost,positive_tail_95,0.0064156185499999905,52.74755927475593,0.021482406370465557,0.013743462022022587,678
R_t,osi_target_t24h,simple_average,positive_tail_95,0.0064156185499999905,52.74755927475593,0.02150849505475377,0.013785326210051194,678
R_t,osi_target_t24h,static_convex,positive_tail_95,0.0064156185499999905,52.74755927475593,0.02154102630494287,0.01382267353009904,678
R_t,osi_target_t24h,safe_convex,positive_tail_95,0.0064156185499999905,52.74755927475593,0.021541026304942867,0.013822673530099035,678
P_t,osi_target_t48h,lightgbm,zero,0.0,44.38633193863319,0.0033159322573159083,0.0016747556823855996,10184
P_t,osi_target_t48h,xgboost,zero,0.0,44.38633193863319,0.0024175426798537627,0.0009207001646570724,10184
P_t,osi_target_t48h,catboost,zero,0.0,44.38633193863319,0.0026065684663137646,0.0009938906604795169,10184
P_t,osi_target_t48h,simple_average,zero,0.0,44.38633193863319,0.0025802971845187467,0.0011964488358407299,10184
P_t,osi_target_t48h,static_convex,zero,0.0,44.38633193863319,0.00280574491196948,0.0013703592768937393,10184
P_t,osi_target_t48h,safe_convex,zero,0.0,44.38633193863319,0.002805744911969483,0.0013703592768937421,10184
P_t,osi_target_t48h,lightgbm,positive,0.0,44.38633193863319,0.016118312790070855,0.005244615502258291,12760
P_t,osi_target_t48h,xgboost,positive,0.0,44.38633193863319,0.016691698021865844,0.0050036383677057004,12760
P_t,osi_target_t48h,catboost,positive,0.0,44.38633193863319,0.016266457999859794,0.004916921601499921,12760
P_t,osi_target_t48h,simple_average,positive,0.0,44.38633193863319,0.01624596041033238,0.0049517014713644555,12760
P_t,osi_target_t48h,static_convex,positive,0.0,44.38633193863319,0.016206976690105943,0.005039443055632197,12760
P_t,osi_target_t48h,safe_convex,positive,0.0,44.38633193863319,0.016206976690105943,0.005039443055632199,12760
P_t,osi_target_t48h,lightgbm,positive_tail_95,0.024761174799999987,44.38633193863319,0.06821193287253055,0.04605534553259201,638
P_t,osi_target_t48h,xgboost,positive_tail_95,0.024761174799999987,44.38633193863319,0.0711811438786606,0.04814992171553358,638
P_t,osi_target_t48h,catboost,positive_tail_95,0.024761174799999987,44.38633193863319,0.06919796877403599,0.04621900400798476,638
P_t,osi_target_t48h,simple_average,positive_tail_95,0.024761174799999987,44.38633193863319,0.06936973052349438,0.046590898568655524,638
P_t,osi_target_t48h,static_convex,positive_tail_95,0.024761174799999987,44.38633193863319,0.06906203721283126,0.046200879866778205,638
P_t,osi_target_t48h,safe_convex,positive_tail_95,0.024761174799999987,44.38633193863319,0.06906203721283126,0.046200879866778205,638
N_t,osi_target_t48h,lightgbm,zero,0.0,62.21670153417015,0.000645963676621194,0.0003149203392669377,14275
N_t,osi_target_t48h,xgboost,zero,0.0,62.21670153417015,0.0004265268392255519,0.0001977578885835406,14275
N_t,osi_target_t48h,catboost,zero,0.0,62.21670153417015,0.00043861717160450435,0.00021848168941449562,14275
N_t,osi_target_t48h,simple_average,zero,0.0,62.21670153417015,0.0004605944810451554,0.00024371997242165797,14275
N_t,osi_target_t48h,static_convex,zero,0.0,62.21670153417015,0.00045762945693668253,0.00024666713709693905,14275
N_t,osi_target_t48h,safe_convex,zero,0.0,62.21670153417015,0.00045762945693668487,0.00024666713709694057,14275
