horizon,model,rmse,mae,n,fipsCode,component
osi_target_t06h,xgboost,0.00041622744071521413,0.0002493209210156734,138,18087,N_t
osi_target_t06h,catboost,0.0014859523254995908,0.0010095379861400449,138,18087,N_t
osi_target_t06h,simple_average,0.0008282794470700211,0.0005327025443494626,138,18087,N_t
osi_target_t06h,static_convex,0.0007144219161186,0.00046490864128239864,138,18087,N_t
osi_target_t06h,safe_convex,0.0007144219161185995,0.00046490864128239756,138,18087,N_t
osi_target_t06h,lightgbm,0.00041297260338013465,0.0002924354078989224,138,18089,N_t
osi_target_t06h,xgboost,0.0003773107903426959,0.00023275006121748726,138,18089,N_t
osi_target_t06h,catboost,0.0003586725850756206,0.0001925152080034873,138,18089,N_t
osi_target_t06h,simple_average,0.0003619724620981884,0.00023859365575921052,138,18089,N_t
osi_target_t06h,static_convex,0.0003628707857956159,0.00024111030382841935,138,18089,N_t
osi_target_t06h,safe_convex,0.0003628707857956159,0.00024111030382841935,138,18089,N_t
osi_target_t06h,lightgbm,0.0009572032441204172,0.0005880522277899615,138,18091,N_t
osi_target_t06h,xgboost,0.0009372240421461074,0.00040926563400829234,138,18091,N_t
osi_target_t06h,catboost,0.0008995592003274102,0.00039083883849959757,138,18091,N_t
osi_target_t06h,simple_average,0.0009163109583742894,0.00046047401816740334,138,18091,N_t
osi_target_t06h,static_convex,0.0009223032935256558,0.0004943405419249107,138,18091,N_t
osi_target_t06h,safe_convex,0.0009223032935256558,0.0004943405419249107,138,18091,N_t
osi_target_t06h,lightgbm,0.006035024425659236,0.0017260147665682317,138,18093,N_t
osi_target_t06h,xgboost,0.006195330129214387,0.0016076167197944132,138,18093,N_t
osi_target_t06h,catboost,0.0060121128858293005,0.0016258415114339543,138,18093,N_t
osi_target_t06h,simple_average,0.006065612218176174,0.001647232827443572,138,18093,N_t
osi_target_t06h,static_convex,0.006105090178382881,0.0016593704969640657,138,18093,N_t
osi_target_t06h,safe_convex,0.006105090178382881,0.0016593704969640657,138,18093,N_t
osi_target_t06h,lightgbm,0.0010970475558285968,0.0004504740127861366,138,18095,N_t
osi_target_t06h,xgboost,0.001021712513062186,0.0003029193540337035,138,18095,N_t
osi_target_t06h,catboost,0.0009635269384639957,0.00029825539447673273,138,18095,N_t
osi_target_t06h,simple_average,0.001018321743658171,0.0003439697333077594,138,18095,N_t
osi_target_t06h,static_convex,0.0010370817810536205,0.0003716163229581803,138,18095,N_t
osi_target_t06h,safe_convex,0.0010370817810536205,0.0003716163229581803,138,18095,N_t
osi_target_t06h,lightgbm,0.0003968406174679622,0.00019646077259085227,138,18097,N_t
osi_target_t06h,xgboost,0.0003409806736530708,0.00013000303989084744,138,18097,N_t
osi_target_t06h,catboost,0.00037804111251597936,0.00017537620732193505,138,18097,N_t
osi_target_t06h,simple_average,0.0003563373093943484,0.00016331527033921502,138,18097,N_t
osi_target_t06h,static_convex,0.00034991182022653107,0.00015672606158770183,138,18097,N_t
osi_target_t06h,safe_convex,0.00034991182022653107,0.00015672606158770183,138,18097,N_t
osi_target_t06h,lightgbm,0.00647181583591357,0.0019108345744594233,138,18099,N_t
osi_target_t06h,xgboost,0.006499709575122474,0.001926057763423332,138,18099,N_t
osi_target_t06h,catboost,0.00650017205294646,0.0018247816011522813,138,18099,N_t
osi_target_t06h,simple_average,0.0064882672664982365,0.0018867175269298595,138,18099,N_t
osi_target_t06h,static_convex,0.006484180094782543,0.001886607036919452,138,18099,N_t
osi_target_t06h,safe_convex,0.006484180094782542,0.0018866070369194525,138,18099,N_t
osi_target_t06h,lightgbm,0.003016770397341743,0.0015330362263512153,138,18101,N_t
osi_target_t06h,xgboost,0.002763769104446623,0.0008340097380791205,138,18101,N_t
osi_target_t06h,catboost,0.003372256755551114,0.0009796410328552511,138,18101,N_t
osi_target_t06h,simple_average,0.0029813870185743754,0.0011091618753179698,138,18101,N_t
osi_target_t06h,static_convex,0.0030630588514773795,0.0012057819535903794,138,18101,N_t
osi_target_t06h,safe_convex,0.0030630588514773795,0.0012057819535903794,138,18101,N_t
osi_target_t06h,lightgbm,0.0006262727175983512,0.000474738863235215,138,18103,N_t
osi_target_t06h,xgboost,0.0006365925974123082,0.0003185957492976834,138,18103,N_t
osi_target_t06h,catboost,0.0005814199194283646,0.00027256753908666337,138,18103,N_t
osi_target_t06h,simple_average,0.0005662152710498237,0.00035199912424253935,138,18103,N_t
osi_target_t06h,static_convex,0.0005735584780998768,0.0003841779056784875,138,18103,N_t
osi_target_t06h,safe_convex,0.0005735584780998768,0.0003841779056784875,138,18103,N_t
osi_target_t06h,lightgbm,0.0018860111984432674,0.0007213677915260133,138,18105,N_t
osi_target_t06h,xgboost,0.0016220537929870407,0.0004932645549059804,138,18105,N_t
osi_target_t06h,catboost,0.0017467800749796118,0.0005921714293328327,138,18105,N_t
osi_target_t06h,simple_average,0.0017285574482181552,0.0005967604206369751,138,18105,N_t
osi_target_t06h,static_convex,0.0017717470953281817,0.0006288981102592302,138,18105,N_t
osi_target_t06h,safe_convex,0.0017717470953281852,0.0006288981102592329,138,18105,N_t
osi_target_t06h,lightgbm,0.0007988230135652023,0.00038904465204188366,138,18107,N_t
osi_target_t06h,xgboost,0.00044883410253097265,0.0002414798742734843,138,18107,N_t
osi_target_t06h,catboost,0.0004967257177978482,0.00027795801745986447,138,18107,N_t
osi_target_t06h,simple_average,0.0005517286001113979,0.00029783019658936665,138,18107,N_t
osi_target_t06h,static_convex,0.0005902677804589581,0.00030677591133533073,138,18107,N_t
osi_target_t06h,safe_convex,0.0005902677804589581,0.00030677591133533073,138,18107,N_t
osi_target_t06h,lightgbm,0.0013957309853489157,0.0005818714730358182,138,18109,N_t
osi_target_t06h,xgboost,0.0015382715576244214,0.0007025557968492561,138,18109,N_t
osi_target_t06h,catboost,0.0009752578963813761,0.00045947753800585505,138,18109,N_t
osi_target_t06h,simple_average,0.001251999207666225,0.000578679982449824,138,18109,N_t
osi_target_t06h,static_convex,0.0013326368388789332,0.0006189282198799408,138,18109,N_t
osi_target_t06h,safe_convex,0.0013326368388789321,0.00061892821987994,138,18109,N_t
osi_target_t06h,lightgbm,0.0010696541178565,0.0006515446366460195,138,18111,N_t
osi_target_t06h,xgboost,0.0011064446703774097,0.0005834252446271186,138,18111,N_t
osi_target_t06h,catboost,0.001154194459374805,0.000598761174745764,138,18111,N_t
osi_target_t06h,simple_average,0.0010113625180448707,0.0006043071175950082,138,18111,N_t
osi_target_t06h,static_convex,0.0010795752924402083,0.0005901515012219758,138,18111,N_t
osi_target_t06h,safe_convex,0.0010795752924402035,0.0005901515012219765,138,18111,N_t
osi_target_t06h,lightgbm,0.0003775976519471314,0.00021254882977030413,138,18113,N_t
