scope,fold,component,horizon,candidate,weight,safe_alpha
outer,3,D_t,osi_target_t24h,xgboost,0.39251131375789516,1.0
outer,3,D_t,osi_target_t24h,catboost,0.15121155723738716,1.0
outer,4,D_t,osi_target_t24h,lightgbm,0.5610174194126947,0.9999999999999939
outer,4,D_t,osi_target_t24h,xgboost,0.18660008074465864,0.9999999999999939
outer,4,D_t,osi_target_t24h,catboost,0.2523824998426467,0.9999999999999939
final,all,D_t,osi_target_t24h,lightgbm,0.6210513152668106,0.9999999999999994
final,all,D_t,osi_target_t24h,xgboost,0.23545238466327764,0.9999999999999994
final,all,D_t,osi_target_t24h,catboost,0.14349630006991182,0.9999999999999994
outer,0,R_t,osi_target_t24h,lightgbm,0.42708042022822906,1.0
outer,0,R_t,osi_target_t24h,xgboost,0.0,1.0
outer,0,R_t,osi_target_t24h,catboost,0.572919579771771,1.0
outer,1,R_t,osi_target_t24h,lightgbm,0.3757238261473464,0.999999999999976
outer,1,R_t,osi_target_t24h,xgboost,0.0,0.999999999999976
outer,1,R_t,osi_target_t24h,catboost,0.6242761738526535,0.999999999999976
outer,2,R_t,osi_target_t24h,lightgbm,0.2986131565636441,0.9999999999999839
outer,2,R_t,osi_target_t24h,xgboost,0.4602600150736988,0.9999999999999839
outer,2,R_t,osi_target_t24h,catboost,0.2411268283626571,0.9999999999999839
outer,3,R_t,osi_target_t24h,lightgbm,0.4272031745001254,1.0
outer,3,R_t,osi_target_t24h,xgboost,0.0,1.0
outer,3,R_t,osi_target_t24h,catboost,0.5727968254998745,1.0
outer,4,R_t,osi_target_t24h,lightgbm,0.32061269403890413,0.9999999999999959
outer,4,R_t,osi_target_t24h,xgboost,0.0533265299262165,0.9999999999999959
outer,4,R_t,osi_target_t24h,catboost,0.6260607760348794,0.9999999999999959
final,all,R_t,osi_target_t24h,lightgbm,0.38663575696509,0.9999999999999875
final,all,R_t,osi_target_t24h,xgboost,0.021675948574710453,0.9999999999999875
final,all,R_t,osi_target_t24h,catboost,0.5916882944601995,0.9999999999999875
outer,0,P_t,osi_target_t48h,lightgbm,0.5437027267780069,0.9999999999999908
outer,0,P_t,osi_target_t48h,xgboost,0.0,0.9999999999999908
outer,0,P_t,osi_target_t48h,catboost,0.45629727322199315,0.9999999999999908
outer,1,P_t,osi_target_t48h,lightgbm,0.5471998960911872,0.9999999999999873
outer,1,P_t,osi_target_t48h,xgboost,0.0,0.9999999999999873
outer,1,P_t,osi_target_t48h,catboost,0.4528001039088129,0.9999999999999873
outer,2,P_t,osi_target_t48h,lightgbm,0.2946447151462792,0.9999999999999981
outer,2,P_t,osi_target_t48h,xgboost,0.17845709762452205,0.9999999999999981
outer,2,P_t,osi_target_t48h,catboost,0.5268981872291988,0.9999999999999981
outer,3,P_t,osi_target_t48h,lightgbm,0.5714400834904448,0.9999999999999912
outer,3,P_t,osi_target_t48h,xgboost,0.0,0.9999999999999912
outer,3,P_t,osi_target_t48h,catboost,0.42855991650955516,0.9999999999999912
outer,4,P_t,osi_target_t48h,lightgbm,0.6947028529749173,0.9999999999999994
outer,4,P_t,osi_target_t48h,xgboost,0.0,0.9999999999999994
outer,4,P_t,osi_target_t48h,catboost,0.30529714702508265,0.9999999999999994
final,all,P_t,osi_target_t48h,lightgbm,0.5451243517852086,0.9999999999999982
final,all,P_t,osi_target_t48h,xgboost,0.0,0.9999999999999982
final,all,P_t,osi_target_t48h,catboost,0.4548756482147914,0.9999999999999982
outer,0,N_t,osi_target_t48h,lightgbm,0.3551462011502353,0.9999999999999653
outer,0,N_t,osi_target_t48h,xgboost,0.0,0.9999999999999653
outer,0,N_t,osi_target_t48h,catboost,0.6448537988497647,0.9999999999999653
outer,1,N_t,osi_target_t48h,lightgbm,0.27943214415367873,0.9999999999999578
outer,1,N_t,osi_target_t48h,xgboost,0.0,0.9999999999999578
outer,1,N_t,osi_target_t48h,catboost,0.7205678558463213,0.9999999999999578
outer,2,N_t,osi_target_t48h,lightgbm,0.1396542691894756,1.0
outer,2,N_t,osi_target_t48h,xgboost,0.3238525719974001,1.0
outer,2,N_t,osi_target_t48h,catboost,0.5364931588131244,1.0
outer,3,N_t,osi_target_t48h,lightgbm,0.33772373810742934,0.9999999999999767
outer,3,N_t,osi_target_t48h,xgboost,0.0,0.9999999999999767
outer,3,N_t,osi_target_t48h,catboost,0.6622762618925707,0.9999999999999767
outer,4,N_t,osi_target_t48h,lightgbm,0.367901606613676,1.0
outer,4,N_t,osi_target_t48h,xgboost,0.0,1.0
outer,4,N_t,osi_target_t48h,catboost,0.6320983933863241,1.0
final,all,N_t,osi_target_t48h,lightgbm,0.3114426688231443,1.0
final,all,N_t,osi_target_t48h,xgboost,0.0,1.0
final,all,N_t,osi_target_t48h,catboost,0.6885573311768556,1.0
outer,0,D_t,osi_target_t48h,lightgbm,1.0,0.0
outer,0,D_t,osi_target_t48h,xgboost,0.0,0.0
outer,0,D_t,osi_target_t48h,catboost,0.0,0.0
outer,1,D_t,osi_target_t48h,lightgbm,1.0,0.0
outer,1,D_t,osi_target_t48h,xgboost,0.0,0.0
outer,1,D_t,osi_target_t48h,catboost,0.0,0.0
outer,2,D_t,osi_target_t48h,lightgbm,0.38066474746842305,0.9999999999999977
outer,2,D_t,osi_target_t48h,xgboost,0.2800365126663957,0.9999999999999977
outer,2,D_t,osi_target_t48h,catboost,0.3392987398651812,0.9999999999999977
outer,3,D_t,osi_target_t48h,lightgbm,1.0,0.0
outer,3,D_t,osi_target_t48h,xgboost,0.0,0.0
outer,3,D_t,osi_target_t48h,catboost,0.0,0.0
outer,4,D_t,osi_target_t48h,lightgbm,1.0,0.0
outer,4,D_t,osi_target_t48h,xgboost,0.0,0.0
outer,4,D_t,osi_target_t48h,catboost,0.0,0.0
final,all,D_t,osi_target_t48h,lightgbm,1.0,0.0
final,all,D_t,osi_target_t48h,xgboost,0.0,0.0
final,all,D_t,osi_target_t48h,catboost,0.0,0.0
outer,0,R_t,osi_target_t48h,lightgbm,0.30967950718546416,0.9999999999999986
outer,0,R_t,osi_target_t48h,xgboost,0.0,0.9999999999999986
outer,0,R_t,osi_target_t48h,catboost,0.6903204928145358,0.9999999999999986
outer,1,R_t,osi_target_t48h,lightgbm,0.19179453625873974,1.0
outer,1,R_t,osi_target_t48h,xgboost,0.032084178026689614,1.0
