case,horizon,fipsCode,countyName,stateAbbr,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
B0,osi_target_t01h,39085,Lake County,OH,4,143,0.002696256784205413,0.001390951506829565,0.0010395814924314415,-0.0005171487026984334,0.002696256784205413,0.0,0.0,0.0
B0,osi_target_t01h,39087,Lawrence County,OH,2,143,0.003601734788547931,0.0012577832625914932,0.0018550665686462063,0.00018127254499650684,0.003601734788547931,0.0,0.0,0.0
B0,osi_target_t01h,39089,Licking County,OH,0,143,0.020553218840010105,0.008855833500439957,0.06040817707000453,-0.008601723047107842,0.020553218840010105,0.0,0.0,0.0
B0,osi_target_t01h,39091,Logan County,OH,1,143,0.028265721803240974,0.016205085473778847,0.11424999715532434,0.016074577158625605,0.028265721803240974,0.0,0.0,0.0
B0,osi_target_t01h,39093,Lorain County,OH,1,143,0.0020834631374549257,0.0010660153931885384,0.0006207370662540936,0.00010583294477671148,0.0020834631374549257,0.0,0.0,0.0
B0,osi_target_t01h,39095,Lucas County,OH,2,143,0.0009459067244114285,0.0005787593358847368,0.00012794775297400642,-0.00014192610938650662,0.0009459067244114285,0.0,0.0,0.0
B0,osi_target_t01h,39097,Madison County,OH,2,143,0.008684921749725596,0.0035717623304640954,0.010786184809236508,0.0004232499620865587,0.008684921749725596,0.0,0.0,0.0
B0,osi_target_t01h,39099,Mahoning County,OH,3,143,0.0019009722698992385,0.000988616432651111,0.0005167584666423984,0.0004664484977631163,0.0019009722698992385,0.0,0.0,0.0
B0,osi_target_t01h,39101,Marion County,OH,0,143,0.006875820213606949,0.005006387578862412,0.006760597216207966,-0.003749729841594752,0.006875820213606949,0.0,0.0,0.0
B0,osi_target_t01h,39103,Medina County,OH,2,143,0.008231773920203127,0.005647195412601317,0.009689980567887098,0.0053957588391961514,0.008231773920203127,0.0,0.0,0.0
B0,osi_target_t01h,39105,Meigs County,OH,2,143,0.003486731247989565,0.0016810846851470819,0.0017384931557860822,-0.00025645445063956194,0.003486731247989565,0.0,0.0,0.0
B0,osi_target_t01h,39107,Mercer County,OH,1,143,0.02245544450696605,0.011516130254514248,0.07210731928477675,0.011486759625143618,0.02245544450696605,0.0,0.0,0.0
B0,osi_target_t01h,39109,Miami County,OH,3,143,0.002632542594885284,0.0017144562246650626,0.0009910301134856043,0.0015774825756254354,0.002632542594885284,0.0,0.0,0.0
B0,osi_target_t01h,39111,Monroe County,OH,4,143,0.018566033771828694,0.01084090274690931,0.049291758232385754,0.010329139610605375,0.018566033771828694,0.0,0.0,0.0
B0,osi_target_t01h,39113,Montgomery County,OH,2,143,0.0013522729540802224,0.0007779262085440516,0.0002614958263541697,-0.0007438634427004699,0.0013522729540802224,0.0,0.0,0.0
B0,osi_target_t01h,39115,Morgan County,OH,0,143,0.03175474218515939,0.00733174478739502,0.1441960021281696,-0.007125295376135667,0.03175474218515939,0.0,0.0,0.0
B0,osi_target_t01h,39117,Morrow County,OH,4,143,0.01614058285630621,0.009058703128616506,0.03725413333660389,-0.005811721039721122,0.01614058285630621,0.0,0.0,0.0
