fipsCode,countyName,stateAbbr,horizon,fold,n,sse,sse_share,rmse,bias,truth_peak,truth_peak_time,prediction_at_truth_peak,base_at_truth_peak,average_at_truth_peak,max_candidate_at_truth_peak,protected_at_truth_peak,prediction_peak,prediction_peak_time,actual_sum,prediction_sum,hours_actual_ge005,hours_actual_ge005_protected,largest_6h_sse_share_within_county
18141,St. Joseph County,IN,1,4,143,0.0003747464372460813,8.042105093242723e-05,0.00161882811202002,0.0007478354186859203,0.0115,2026-03-14 01:00:00,0.008421958000263111,0.008421958000263111,0.008953379363151407,0.014858908567615,False,0.008421958000263111,2026-03-14 01:00:00,0.12359999999999999,0.23054046487208663,0,0,0.2575985588642488
18143,Scott County,IN,1,2,143,0.0023785136722533472,0.0005104319885879347,0.004078352944882333,-0.0013474928936507294,0.0249,2026-03-15 16:00:00,0.01181524880939653,0.01181524880939653,0.010604955817976143,0.012899424873002524,False,0.01689647835629246,2026-03-15 14:00:00,0.35850000000000004,0.16580851620794568,0,0,0.4152545062693889
18145,Shelby County,IN,1,4,143,0.0002540077049173791,5.451036899645161e-05,0.0013327706692319158,-0.0002657500259819213,0.0122,2026-03-16 10:00:00,0.0015840168252065881,0.0015840168252065881,0.0018466131484484022,0.002862463472411,False,0.005004503468577427,2026-03-16 00:00:00,0.1226,0.08459774628458525,0,0,0.7054353315859067
18147,Spencer County,IN,1,0,143,0.0004146056585915593,8.897488934516345e-05,0.0017027449221392627,0.0006656415077093122,0.0084,2026-03-15 13:00:00,0.008720538567676734,0.008720538567676734,0.008975175141569102,0.01127256359905,False,0.008958317892849302,2026-03-15 14:00:00,0.027100000000000003,0.12228673560243164,0,0,0.4506554670308052
18149,Starke County,IN,1,3,143,0.003444301868528111,0.0007391514594004323,0.004907751730950143,0.00319149936464596,0.0121,2026-03-16 08:00:00,0.009076369446721548,0.009076369446721548,0.01023802400398894,0.0153411142528057,False,0.01321390422089599,2026-03-16 02:00:00,0.1114,0.5677844091443723,0,0,0.20711368571471206
18151,Steuben County,IN,1,1,143,0.017326145950168004,0.0037182124429541844,0.01100735480446527,-0.007816913023842601,0.0377,2026-03-16 00:00:00,0.0031734648120143806,0.0031734648120143806,0.0035977279134654667,0.0043931637192145,False,0.005617723533197647,2026-03-14 01:00:00,1.4273,0.30948143759050806,0,0,0.18847418954060874
18153,Sullivan County,IN,1,3,143,0.0005789787755525049,0.00012424956442461614,0.002012163667856393,0.0004225770223091204,0.017,2026-03-15 13:00:00,0.008600729989581713,0.008600729989581713,0.008981034698476343,0.0118840327486395,False,0.008600729989581713,2026-03-15 13:00:00,0.0858,0.14622851419020422,0,0,0.4243156538603426
18155,Switzerland County,IN,1,4,143,0.0015058679032933558,0.0003231611225932442,0.0032450800881141926,0.0010528094597163432,0.0042,2026-03-16 01:00:00,0.0054923749257459655,0.0054923749257459655,0.007213852795808346,0.010386316563025213,False,0.016157361799275256,2026-03-15 13:00:00,0.030899999999999997,0.1814517527394371,0,0,0.6480315850963907
18157,Tippecanoe County,IN,1,1,143,0.00023881014038979855,5.12489527708483e-05,0.0012922851781812105,0.0007844872762549559,0.0033,2026-03-15 22:00:00,0.0036874843779361424,0.0036874843779361424,0.0028998226848020274,0.0036874843779361424,False,0.005425251534949369,2026-03-16 00:00:00,0.0131,0.1252816805044587,0,0,0.28182479191600657
18159,Tipton County,IN,1,0,143,0.0026150055324675645,0.0005611834355534012,0.0042763012025929205,0.001077862669382554,0.0417,2026-03-17 00:00:00,0.0024052473679144776,0.0024052473679144776,0.0030181912416102964,0.0074360297300506,False,0.01029905744413279,2026-03-16 00:00:00,0.09010000000000001,0.2442343617217052,0,0,0.638524345894085
