horizon,fipsCode,countyName,stateAbbr,splits,oracle_improves_splits,oracle_worsens_splits,mean_N_weighted_sse,mean_OSI_sse,mean_oracle_N_sse_reduction
1,39099,Mahoning County,OH,3,3,0,3.4466207895619514e-05,0.0005434412882301151,0.0001541229270877318
1,39101,Marion County,OH,3,3,0,7.825414638943046e-05,0.006956288119123445,0.000450855566862712
1,39103,Medina County,OH,3,3,0,7.50252410647007e-05,0.007546745028589423,0.0003580766134038047
1,39105,Meigs County,OH,3,3,0,5.6391272804885835e-05,0.00174548886926797,0.00031677894813180466
1,39107,Mercer County,OH,3,0,3,0.0004792632280397862,0.0585622310088418,-0.004157043164838224
1,39109,Miami County,OH,3,3,0,3.0982326436202053e-06,0.000673997815789015,6.38359347313362e-05
1,39111,Monroe County,OH,3,3,0,5.224101848957008e-05,0.055395281972576406,0.0010445786043503968
1,39113,Montgomery County,OH,3,3,0,8.596398425316e-06,0.000281713160666445,4.457751815212992e-05
1,39115,Morgan County,OH,3,3,0,0.015134114862838582,0.14373520325908795,0.06404544064937062
1,39117,Morrow County,OH,3,3,0,0.0006468444208346276,0.04082148284134906,0.0030092071897376907
1,39119,Muskingum County,OH,3,3,0,2.52345597622776e-05,0.07007601156913933,0.0004868767070329626
1,39121,Noble County,OH,3,0,3,1.0792106447424683e-05,0.009991831139063356,-1.7677165647515924e-05
1,39123,Ottawa County,OH,3,3,0,3.431426410587776e-05,0.00032803509417813134,0.00012672598759377163
1,39125,Paulding County,OH,3,3,0,0.0008781163805799733,0.05106395063077318,0.005598995721514622
1,39127,Perry County,OH,3,3,0,8.936036391886599e-06,0.019215470619230998,0.00014709813194534947
1,39129,Pickaway County,OH,3,3,0,3.042132842970926e-06,0.00014590287892654914,7.3728135866654866e-06
1,39131,Pike County,OH,3,3,0,0.00010295895820394117,0.00443387386938855,0.000519156630319118
1,39133,Portage County,OH,3,3,0,2.0637075931590425e-05,0.005245958501852307,5.238803666968991e-05
1,39135,Preble County,OH,3,3,0,2.886623869589683e-05,0.004201036662158263,0.0001507652852778865
1,39137,Putnam County,OH,3,2,1,2.1145687640351552e-05,0.01281665023222744,-3.976114703527426e-05
