horizon,component,rank,feature,importance,importance_fraction
osi_target_t01h,N_t,102,pct_agriculture,0.2863827289278998,0.0028638272892789977
osi_target_t01h,N_t,103,is_worsening,0.28265346768900257,0.0028265346768900257
osi_target_t01h,N_t,104,lcc_t,0.2780612730977751,0.002780612730977751
osi_target_t01h,N_t,105,gust_gt30_next_1h,0.2769604200389884,0.002769604200389884
osi_target_t01h,N_t,106,gust_gt40_next_1h,0.27363863044838566,0.0027363863044838565
osi_target_t01h,N_t,107,osi_mean_72h,0.2607316299818131,0.002607316299818131
osi_target_t01h,N_t,108,gust_gt30_frac_next_24h,0.24332706724684824,0.0024332706724684823
osi_target_t01h,N_t,109,hour_cos,0.23825589309791015,0.0023825589309791014
osi_target_t01h,N_t,110,gust_x_phase,0.23139991579148642,0.002313999157914864
osi_target_t01h,N_t,111,gust_mean_next_6h,0.2309938852747785,0.002309938852747785
osi_target_t01h,N_t,112,hours_since_peak,0.228825407685675,0.00228825407685675
osi_target_t01h,N_t,113,gust_trend_last6h_obs,0.22538640373763563,0.0022538640373763563
osi_target_t01h,N_t,114,n_utilities,0.22475180702404304,0.0022475180702404302
osi_target_t01h,N_t,115,t2m_t,0.22292482245875708,0.002229248224587571
osi_target_t01h,N_t,116,gust_at_t24h,0.2219106409355855,0.002219106409355855
osi_target_t01h,N_t,117,gust_max_next_48h,0.2143827725312813,0.002143827725312813
osi_target_t01h,N_t,118,direct_rad_t,0.21100048703311877,0.0021100048703311877
osi_target_t01h,N_t,119,gust_max_next_24h,0.20479649019330817,0.002047964901933082
osi_target_t01h,N_t,120,gust_gt30_frac_next_6h,0.19588196669124258,0.001958819666912426
osi_target_t01h,N_t,121,N_t_max_72h,0.19309275326305084,0.0019309275326305083
osi_target_t01h,N_t,122,gust_gt30_frac_next_1h,0.19250104946266106,0.0019250104946266105
osi_target_t01h,N_t,123,wind_speed_at_t1h,0.1829162913832344,0.001829162913832344
osi_target_t01h,N_t,124,tp_at_t24h,0.17779389417327152,0.0017779389417327152
osi_target_t01h,N_t,125,outage_pct_max_72h,0.17736155939624232,0.0017736155939624232
osi_target_t01h,N_t,126,N_t_mean_72h,0.17519599564908173,0.0017519599564908173
osi_target_t01h,N_t,127,gust_x_hso,0.17359981126985913,0.0017359981126985912
osi_target_t01h,N_t,128,last_outage_pct,0.167879909451813,0.00167879909451813
osi_target_t01h,N_t,129,gust_gt30_next_48h,0.15919402297098592,0.0015919402297098592
osi_target_t01h,N_t,130,is_snowing,0.1443852991477879,0.0014438529914778788
osi_target_t01h,N_t,131,cumul_gust_obs,0.14418711071365534,0.0014418711071365533
osi_target_t01h,N_t,132,osi_max_72h,0.13851422869864627,0.0013851422869864626
osi_target_t01h,N_t,133,gust_gt30_next_24h,0.1376123726044337,0.001376123726044337
osi_target_t01h,N_t,134,rural_urban_code,0.12993823191444423,0.0012993823191444424
osi_target_t01h,N_t,135,icing_risk_t,0.1269852624546687,0.001269852624546687
osi_target_t01h,N_t,136,et0_t,0.12086823215996122,0.0012086823215996122
osi_target_t01h,N_t,137,mcc_t,0.11800445554503132,0.0011800445554503132
