horizon,model,rmse,mae,n,fold,baseline_rmse,rmse_change_pct_vs_v1.8,improved_vs_v1.8
osi_target_t24h,static_convex,0.007512825146503689,0.002395175675583568,5760,4,0.007410450047646712,1.3814963760465204,False
osi_target_t24h,safe_convex,0.007506871859891253,0.0023959279127763484,5760,4,0.007410450047646712,1.3011600054595895,False
osi_target_t48h,v1.8_rule,0.003637505972180902,0.0016125080878000183,4608,0,0.003637505972180902,0.0,False
osi_target_t48h,lgbm_direct,0.003639645418708036,0.001611630788902187,4608,0,0.003637505972180902,0.05881630280462069,False
osi_target_t48h,xgboost_direct,0.0038068666098683987,0.0014876080184273047,4608,0,0.003637505972180902,4.655954903792359,False
osi_target_t48h,catboost_direct,0.0038323777511877545,0.0014895178708060992,4608,0,0.003637505972180902,5.357290970714623,False
osi_target_t48h,xgboost_component,0.003665604849427282,0.0014467355421973324,4608,0,0.003637505972180902,0.772476456706217,False
osi_target_t48h,catboost_component,0.003622011904349848,0.001410348245621296,4608,0,0.003637505972180902,-0.42595305546024864,True
osi_target_t48h,simple_average,0.0035446868158432797,0.0014304298296718664,4608,0,0.003637505972180902,-2.551725194336152,True
osi_target_t48h,static_convex,0.0035702557840621915,0.0015502707370454842,4608,0,0.003637505972180902,-1.8487993870808683,True
osi_target_t48h,safe_convex,0.003582276864649523,0.001560312156359738,4608,0,0.003637505972180902,-1.5183234874049045,True
osi_target_t48h,v1.8_rule,0.005771282327149259,0.0025272190094480502,4512,1,0.005771282327149259,0.0,False
osi_target_t48h,lgbm_direct,0.005772820147779022,0.0024399082030299116,4512,1,0.005771282327149259,0.02664608214588693,False
osi_target_t48h,xgboost_direct,0.005557336161416692,0.0017296946663998517,4512,1,0.005771282327149259,-3.7070819551856204,True
osi_target_t48h,catboost_direct,0.005960759994326487,0.001901450075855924,4512,1,0.005771282327149259,3.2831120786776857,False
osi_target_t48h,xgboost_component,0.005579361218667168,0.001710255393785608,4512,1,0.005771282327149259,-3.325450005785646,True
osi_target_t48h,catboost_component,0.005804939896057147,0.001787038988787648,4512,1,0.005771282327149259,0.5831904765697615,False
osi_target_t48h,simple_average,0.005655486491167629,0.0017499895444291684,4512,1,0.005771282327149259,-2.0064143359770137,True
