domain,mode,horizon,comparison,slice_type,slice_value,counties,countyName,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,fraction_of_net_sse_reduction
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18139,1,Rush County,143,0.0028133246350727915,0.0008669264402521279,0.001131815756829966,-0.0002744252979834589,0.002828317267286896,0.0009084747946479071,0.00114391113471395,-0.00019543275376121533,1.4992632214104549e-05,0.5329151149922939,-1.2095377883983814e-05,49,-0.00021251718123205444
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18141,1,St. Joseph County,143,0.0017231835486846705,0.0012140678183135698,0.0004246187005714216,0.0009232791941075236,0.001747861586510201,0.0012169498731887849,0.00043686787796050786,0.0009038391552772989,2.467803782553045e-05,1.4321189315187999,-1.224917738908626e-05,91,-0.000215219456234354
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18143,1,Scott County,143,0.0040089672511264066,0.0017586937531673828,0.002298270034146375,-0.0012956734715374757,0.003904692914347856,0.0017083869240075154,0.0021802676260162445,-0.0012521087621376221,-0.00010427433677855048,-2.6010274029864555,0.00011800240813013025,25,0.00207331588933789
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18145,1,Shelby County,143,0.001316683292369068,0.00044380462444062124,0.00024791264961375036,-0.00035084445165084753,0.0013024650360766747,0.00044635767921509875,0.00024258736933891655,-0.00034821490054935965,-1.4218256292393427e-05,-1.0798539310703181,5.325280274833812e-06,26,9.356578720677334e-05
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18147,1,Spencer County,143,0.0018010651406859357,0.0007316359255656661,0.000463868496662149,0.0007274401213698621,0.0018317695549356276,0.0007453713557592343,0.0004798192974416366,0.0007411755515634302,3.0704414249691945e-05,1.7047919898109942,-1.5950800779487623e-05,29,-0.000280257405148079
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18149,1,Starke County,143,0.005286103294718078,0.003325116081343195,0.003995832990067394,0.003192356153893689,0.005339350013144145,0.0033726804561447026,0.0040767381744893205,0.003240602203112782,5.324671842606675e-05,1.0072962153288012,-8.090518442192655e-05,78,-0.001421513400021555
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18151,1,Steuben County,143,0.011389477207792363,0.008553740373299685,0.018549987322555507,-0.008502115623895778,0.011325129101716163,0.008517483249616632,0.01834097253138698,-0.008472623886814032,-6.434810607620044e-05,-0.5649785754185066,0.00020901479116852695,77,0.003672413932082264
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18153,1,Sullivan County,143,0.002013301445161518,0.0008130007184831162,0.0005796337273997922,0.0005162818854380198,0.00216518444586502,0.0008973433570916581,0.0006703873869000613,0.0006081714932129548,0.00015188300070350215,7.54397713608741,-9.075365950026912e-05,28,-0.001594552240408255
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18155,1,Switzerland County,143,0.0032836466299872307,0.0011461491252873865,0.001541873932259589,0.0010678274469657085,0.0032809125623909723,0.0011387819508874195,0.00153930737561385,0.0010604602725657413,-2.734067596258348e-06,-0.0832631493075442,2.5665566457389044e-06,25,4.5094695598313926e-05
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18157,1,Tippecanoe County,143,0.0009493442068405489,0.0003708407150260052,0.00012887938249782466,0.00031629526048055067,0.0009440737721270573,0.0003579764991079206,0.00012745236607220416,0.000303431044562466,-5.270434713491585e-06,-0.5551658371658275,1.4270164256204921e-06,25,2.5072842804380667e-05
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18159,1,Tipton County,143,0.004254709940244896,0.0018612958613691219,0.0025886656046134777,0.0010469076329496904,0.004191732944396687,0.0018315958171801878,0.002512599386031094,0.0010406460317446476,-6.297699584820876e-05,-1.4801713097411295,7.60662185823836e-05,78,0.001336492213402856
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18161,1,Union County,143,0.0030026680339902486,0.001642660595555194,0.0012892901910956016,0.001516914985918681,0.002953511603319333,0.0016129982396523804,0.001247422003104697,0.0014935878073555828,-4.915643067091545e-05,-1.637091750218933,4.1868187990904554e-05,66,0.0007356288807564051
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18163,1,Vanderburgh County,143,0.0006348371268454605,0.0002927981306929876,5.7631599399860113e-05,0.00015642878292817367,0.0006809525840789149,0.0002991120828558485,6.630858831221648e-05,0.00015846132689857506,4.6115457233454333e-05,7.264139931860081,-8.676988912356364e-06,29,-0.00015245569364786223
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18165,1,Vermillion County,143,0.013825526003225896,0.003519761904735821,0.027333759205020184,-0.0014254004179726908,0.013867456385028332,0.003511738605779159,0.02749980756246482,-0.0014355970132905224,4.193038180243594e-05,0.30328236186205615,-0.0001660483574446349,28,-0.0029174887474225563
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18167,1,Vigo County,143,0.0014408676285633838,0.000613013602044031,0.0002968822317949874,2.5215103814589915e-05,0.001432753654248197,0.0006193379027017062,0.00029354797382790337,-9.436155367441428e-07,-8.11397431518682e-06,-0.5631311408721751,3.33425796708402e-06,30,5.858329615344197e-05
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18169,1,Wabash County,143,0.0015717432804095014,0.0005366926307309056,0.00035326390235027613,0.00021227051152591104,0.0016231772838170302,0.0005389328423403315,0.00037676274274204733,0.00019014306000660728,5.143400340752876e-05,3.2724175791690513,-2.34988403917712e-05,26,-0.0004128773296859027
