candidate,kind,outer_fold,feature,group,gain,gain_fraction,split_count
F1,b,0,wind_speed_at_t6h,original_163,0.16707511091954075,0.002682023413478656,38
F1,b,0,t2m_at_t6h,original_163,4.136226658680243,0.06639802111145889,54
F1,b,0,tp_at_t6h,original_163,0.03119048068765551,0.0005006945619939251,4
F1,b,0,gust_at_t24h,original_163,0.5039605754136574,0.00808997854492234,34
F1,b,0,wind_speed_at_t24h,original_163,0.27458978080539964,0.004407934953140405,51
F1,b,0,t2m_at_t24h,original_163,1.2409823691705242,0.0199212423173695,105
F1,b,0,tp_at_t24h,original_163,0.07366272734361701,0.0011824930616470917,30
F1,b,0,gust_at_t48h,original_163,0.17965834552887827,0.0028840195675065923,33
F1,b,0,wind_speed_at_t48h,original_163,0.8291500617633574,0.013310180473305358,82
F1,b,0,t2m_at_t48h,original_163,3.5542057569837198,0.05705495572671841,114
F1,b,0,tp_at_t48h,original_163,0.10264350892975926,0.0016477157649399604,3
F1,b,0,hour_of_day,original_163,0.15697610966162756,0.0025199061616785513,23
F1,b,0,hour_sin,original_163,0.4209673098230269,0.006757704214831862,23
F1,b,0,hour_cos,original_163,0.03843912517186254,0.00061705560533322,15
F1,b,0,days_since_onset,original_163,0.017014120239764452,0.0002731242768096363,2
F1,b,0,hours_since_obs,original_163,0.2809836784435902,0.004510574915936966,82
F1,b,0,storm_phase,original_163,0.0,0.0,0
F1,b,0,log_customers,original_163,0.3388593477138784,0.0054396414848552534,101
F1,b,0,rural_urban_code,original_163,0.05358116020215675,0.0008601276718753183,18
F1,b,0,is_metro,original_163,0.0,0.0,0
F1,b,0,pop_density,original_163,0.4660901524766814,0.007482052203073481,107
F1,b,0,n_utilities,original_163,0.02822158980416134,0.0004530355491237838,13
F1,b,0,pct_forest,original_163,4.567225859005703,0.07331676526252598,227
F1,b,0,pct_developed,original_163,0.46026500410516746,0.007388542258753222,86
F1,b,0,pct_agriculture,original_163,0.03537310636602342,0.0005678374173088742,13
F1,b,0,pct_water,original_163,0.17282560214516707,0.002774334901534831,42
F1,b,0,pct_wetland,original_163,0.35564074653666466,0.0057090299312008656,63
F1,b,0,pct_unmapped,original_163,0.6679930525424425,0.010723159165356986,105
F1,b,0,pct_forest_classified,original_163,0.4049595384276472,0.0065007346551905236,42
F1,b,0,tree_canopy_pct,original_163,0.03688285470707342,0.0005920731061369166,13
F1,b,0,tree_canopy_std,original_163,0.3163957480865065,0.005079037802954149,60
F1,b,0,forest_x_customers,original_163,0.2303920056874631,0.0036984368894398467,39
F1,b,0,window_len_next_1h,original_163,0.0,0.0,0
F1,b,0,is_full_next_1h,original_163,0.0,0.0,0
F1,b,0,tp_rate_next_1h,original_163,0.016345359850674868,0.0002623887997438205,7
F1,b,0,gust_gt30_frac_next_1h,original_163,0.0,0.0,0
F1,b,0,has_weather_at_t1h,original_163,0.0,0.0,0
F1,b,0,window_len_next_6h,original_163,0.0,0.0,0
F1,b,0,is_full_next_6h,original_163,0.0,0.0,0
F1,b,0,tp_rate_next_6h,original_163,1.2334304173709825,0.019800012342226243,15
F1,b,0,gust_gt30_frac_next_6h,original_163,0.0,0.0,0
F1,b,0,has_weather_at_t6h,original_163,0.0,0.0,0
F1,b,0,window_len_next_24h,original_163,0.0,0.0,0
