horizon,model,fipsCode,countyName,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,fraction_of_total_sse_reduction
osi_target_t01h,v18_rule,18085,Kosciusko County,1,143,0.002528599286900708,0.0018474714650236629,0.0009143154525812118,0.001371736696719757,0.002528599286900708,0.0018474714650236629,0.0009143154525812118,0.001371736696719757,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18087,LaGrange County,3,143,0.0013818126389492826,0.001062592463045443,0.0002730450821898772,0.0009653471801706551,0.0013818126389492826,0.001062592463045443,0.0002730450821898772,0.0009653471801706551,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18089,Lake County,0,143,0.0023954653629179455,0.0013777115754630613,0.0008205703656063635,0.00030949701298199026,0.0023954653629179455,0.0013777115754630613,0.0008205703656063635,0.00030949701298199026,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18093,Lawrence County,3,143,0.00756888070132324,0.00242679621489176,0.008192177575133464,-0.001812063313096976,0.00756888070132324,0.00242679621489176,0.008192177575133464,-0.001812063313096976,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18095,Madison County,3,143,0.001455176538876885,0.0007661322903034182,0.00030280804257957263,0.0001085682351435691,0.001455176538876885,0.0007661322903034182,0.00030280804257957263,0.0001085682351435691,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18097,Marion County,4,143,0.0007077787924595789,0.00031502175130715865,7.163596712494217e-05,8.188026089104905e-05,0.0007077787924595789,0.00031502175130715865,7.163596712494217e-05,8.188026089104905e-05,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18077,Jefferson County,2,143,0.005362600349372933,0.0015653382724871467,0.0041123199985145424,-0.0012889698432653198,0.005362600349372933,0.0015653382724871467,0.0041123199985145424,-0.0012889698432653198,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18125,Pike County,0,143,0.003259256551224076,0.001140487570969858,0.0015190537171376791,0.0010521029254016768,0.003259256551224076,0.001140487570969858,0.0015190537171376791,0.0010521029254016768,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18117,Orange County,4,143,0.012725005559506758,0.003458384841197653,0.023155384607995343,-0.0032858484783994803,0.012725005559506758,0.003458384841197653,0.023155384607995343,-0.0032858484783994803,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18103,Miami County,3,143,0.004021819506026347,0.0024068408081831007,0.0023130295958847234,0.0023648827662250587,0.004021819506026347,0.0024068408081831007,0.0023130295958847234,0.0023648827662250587,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18101,Martin County,0,143,0.0034270374726321708,0.0017493188354503007,0.0016794757749519888,0.0004346340700483624,0.0034270374726321708,0.0017493188354503007,0.0016794757749519888,0.0004346340700483624,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18069,Huntington County,0,143,0.0011155018663407922,0.0006441833853234409,0.00017794125117480002,-3.865985215760374e-06,0.0011155018663407922,0.0006441833853234409,0.00017794125117480002,-3.865985215760374e-06,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18071,Jackson County,3,143,0.004700213729339056,0.0018384734720983287,0.003159157301509832,0.001814697248322105,0.004700213729339056,0.0018384734720983287,0.003159157301509832,0.001814697248322105,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18023,Clinton County,1,143,0.0015555204857432283,0.0006192945742185096,0.0003460090893640594,0.0005480737468273128,0.0015555204857432283,0.0006192945742185096,0.0003460090893640594,0.0005480737468273128,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18009,Blackford County,3,143,0.005801130533945502,0.0037707618103164147,0.0048123955124781,0.0021580036289060617,0.005801130533945502,0.0037707618103164147,0.0048123955124781,0.0021580036289060617,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18043,Floyd County,4,143,0.0018248891421507106,0.0007391098335126713,0.0004762215145029566,0.0003374841069599329,0.0018248891421507106,0.0007391098335126713,0.0004762215145029566,0.0003374841069599329,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18037,Dubois County,4,143,0.0025271583978043817,0.0009475092766594194,0.0009132737281658291,0.0005572478213292228,0.0025271583978043817,0.0009475092766594194,0.0009132737281658291,0.0005572478213292228,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18039,Elkhart County,2,143,0.0010839669179440036,0.0006941030066619459,0.00016802275192517418,0.0005740691412726208,0.0010839669179440036,0.0006941030066619459,0.00016802275192517418,0.0005740691412726208,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18041,Fayette County,1,143,0.005548726536290039,0.002076984309013253,0.004402736362957682,-0.0020503198369617123,0.005548726536290039,0.002076984309013253,0.004402736362957682,-0.0020503198369617123,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18029,Dearborn County,3,143,0.0015818165808879736,0.00044076748163143016,0.000357806548466813,-0.00012306605032730324,0.0015818165808879736,0.00044076748163143016,0.000357806548466813,-0.00012306605032730324,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18027,Daviess County,4,143,0.0019708990362174695,0.000692807024743305,0.0005554753505677019,0.00042923559864615064,0.0019708990362174695,0.000692807024743305,0.0005554753505677019,0.00042923559864615064,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18033,DeKalb County,4,143,0.003403888046829305,0.0014764910015856458,0.0016568628984546811,-0.0007217892016360046,0.003403888046829305,0.0014764910015856458,0.0016568628984546811,-0.0007217892016360046,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18025,Crawford County,1,143,0.012065869160988642,0.0022070598564312015,0.020818683401243838,-0.0011134445694453614,0.012065869160988642,0.0022070598564312015,0.020818683401243838,-0.0011134445694453614,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,39077,Huron County,3,143,0.004334510677080687,0.002787110237694231,0.0026866815417908863,0.0019921116155427613,0.004334510677080687,0.002787110237694231,0.0026866815417908863,0.0019921116155427613,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,39033,Crawford County,2,143,0.004430667921163926,0.0021794641476584682,0.0028072070065512426,0.0004051610559484202,0.004430667921163926,0.0021794641476584682,0.0028072070065512426,0.0004051610559484202,0.0,0.0,0.0,0,0.0
