candidate,horizon,fipsCode,rmse,mae,n
L1,osi_target_t01h,39077,0.00406854279301797,0.0025569871082406835,143
L1,osi_target_t01h,39081,0.009191572332932593,0.004760649516061209,143
L1,osi_target_t01h,39085,0.002696256784205413,0.001390951506829565,143
L1,osi_target_t01h,39087,0.003601734788547931,0.0012577832625914932,143
L1,osi_target_t01h,39089,0.020553218840010105,0.008855833500439957,143
L1,osi_target_t01h,39091,0.028265721803240974,0.016205085473778847,143
L1,osi_target_t01h,39093,0.0020834631374549257,0.0010660153931885384,143
L1,osi_target_t01h,39095,0.0009459067244114285,0.0005787593358847368,143
L1,osi_target_t01h,39097,0.008684921749725596,0.0035717623304640954,143
L1,osi_target_t01h,39099,0.0019009722698992385,0.000988616432651111,143
L1,osi_target_t01h,39101,0.006875820213606949,0.005006387578862412,143
L1,osi_target_t01h,39103,0.008231773920203127,0.005647195412601317,143
L1,osi_target_t01h,39105,0.003486731247989565,0.0016810846851470819,143
L1,osi_target_t01h,39107,0.02245544450696605,0.011516130254514248,143
L1,osi_target_t01h,39109,0.002632542594885284,0.0017144562246650626,143
L1,osi_target_t01h,39111,0.018566033771828694,0.01084090274690931,143
L1,osi_target_t01h,39113,0.0013522729540802224,0.0007779262085440516,143
L1,osi_target_t01h,39115,0.03175474218515939,0.00733174478739502,143
L1,osi_target_t01h,39117,0.01614058285630621,0.009058703128616506,143
L1,osi_target_t01h,39119,0.007209478080776412,0.004619945386115649,143
L1,osi_target_t01h,39121,0.0076951262221897606,0.004333415163979427,143
L1,osi_target_t01h,39123,0.0015392068510369076,0.0007061662625259918,143
L1,osi_target_t01h,39125,0.018406129249067572,0.009387198771707446,143
L1,osi_target_t01h,39127,0.011987905566551675,0.007530286759522367,143
L1,osi_target_t01h,39129,0.0009145830072406265,0.0004124872091774814,143
L1,osi_target_t01h,39131,0.005653613132602717,0.0020692367143558426,143
L1,osi_target_t01h,39133,0.006301928751152393,0.0035888261410230125,143
L1,osi_target_t01h,39135,0.0055541846527788,0.0027297676991280963,143
L1,osi_target_t01h,39137,0.009618691585855925,0.0043810125867126916,143
L1,osi_target_t01h,39139,0.012043765461885333,0.008581631744930884,143
L1,osi_target_t01h,39141,0.002373623594077791,0.0014394506341868965,143
L1,osi_target_t01h,39143,0.001128122385939221,0.0006493151726895457,143
L1,osi_target_t01h,39145,0.0013757520439651896,0.0008190080530457568,143
L1,osi_target_t01h,39147,0.0015340527343210872,0.0008527298513601507,143
L1,osi_target_t01h,39149,0.027258112946023552,0.015366705182147179,143
L1,osi_target_t01h,39151,0.002715005476123262,0.0015231899408068629,143
L1,osi_target_t01h,39153,0.0029254701984839392,0.0016994648247247138,143
L1,osi_target_t01h,39155,0.004778605557174564,0.0022999325348066328,143
L1,osi_target_t01h,39157,0.020647724590537382,0.013996317454307036,143
L1,osi_target_t01h,39159,0.0032086608713126114,0.0021149245573681462,143
L1,osi_target_t01h,39161,0.005637092263171637,0.003122921756825087,143
L1,osi_target_t01h,39163,0.0031166810395927198,0.002161484741046432,143
L1,osi_target_t01h,39165,0.001117180190717531,0.0005887639578899661,143
L1,osi_target_t01h,39167,0.003162107838521383,0.0012046387078628218,143
L1,osi_target_t01h,39169,0.006711491928556605,0.00317088495338268,143
L1,osi_target_t01h,39171,0.00972102792729044,0.005820390058483728,143
L1,osi_target_t01h,39173,0.008165022161266739,0.006084092149838624,143
L1,osi_target_t01h,39175,0.0026154430569369537,0.00150595884336771,143
L1,osi_target_t01h,42005,0.01333006050265327,0.0077821138457040175,143
L1,osi_target_t01h,42007,0.009023666090004337,0.0058457902611289015,143
L1,osi_target_t01h,42009,0.01077237332952004,0.006488280607295474,143
L1,osi_target_t01h,42013,0.0015634762133680345,0.0011172632039098056,143
