case,horizon,fipsCode,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
H0_Huber,osi_target_t01h,39155,1,143,0.004319188937544035,0.0014665541664486258,0.002667721210182997,-0.0004745822843257173,0.004319188937544035,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39157,2,143,0.023444932084831942,0.01662440627850505,0.07860207218612064,-0.01658203195522507,0.023444932084831942,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39159,3,143,0.00658653438605101,0.0043623822120170885,0.006203688236264428,0.004177766827401704,0.00658653438605101,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39161,3,143,0.006700550650309379,0.0036970938248583078,0.006420325199482685,-0.0010714011581233137,0.006700550650309379,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39163,2,143,0.003006241807841434,0.0018844729692630373,0.001292361042431564,0.0006939829905093962,0.003006241807841434,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39165,2,143,0.0009230342824059245,0.0004991699489729301,0.00012183489696901664,0.00014331244055067945,0.0009230342824059245,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39167,4,143,0.0029559731803427565,0.0012145274530055714,0.001249502174335511,-0.0003095659080041647,0.0029559731803427565,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39169,4,143,0.00939975634293292,0.004718680898599255,0.012634824960830598,-0.00422955337346755,0.00939975634293292,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39171,3,143,0.012357986002292426,0.007309922989198096,0.021838933978698342,0.007281950961226068,0.012357986002292426,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39173,1,143,0.005885553340199217,0.003974463611239979,0.004953482551207212,0.003971483804855135,0.005885553340199217,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39175,2,143,0.0032768683493235953,0.002008115055527001,0.0015355148635682202,0.0008641548551462423,0.0032768683493235953,0.0,0.0,0.0
H0_Huber,osi_target_t01h,42005,3,143,0.014041692088697112,0.008532438779606489,0.028195183690070402,-0.008355633419990844,0.014041692088697112,0.0,0.0,0.0
H0_Huber,osi_target_t01h,42007,0,143,0.007394288907325202,0.004592760296480556,0.00781859770763393,-0.004550916225918468,0.007394288907325202,0.0,0.0,0.0
H0_Huber,osi_target_t01h,42009,0,143,0.00901855664908362,0.00592799036247305,0.011630814056680447,0.0014818417352324596,0.00901855664908362,0.0,0.0,0.0
H0_Huber,osi_target_t01h,42013,0,143,0.0014318365098315608,0.0009400903444176096,0.0002931722780967874,0.0002472586622690437,0.0014318365098315608,0.0,0.0,0.0
H0_Huber,osi_target_t01h,42015,4,143,0.003850999910893861,0.002464997550042964,0.0021207186448597474,-0.00013449692979224359,0.003850999910893861,0.0,0.0,0.0
H0_Huber,osi_target_t01h,42019,1,143,0.003353296483820128,0.002038914188162209,0.0016079774151012622,-0.0007917703962698849,0.003353296483820128,0.0,0.0,0.0
H0_Huber,osi_target_t01h,42021,2,143,0.011795343669791996,0.005215813724453274,0.0198956089172558,0.004225261746599387,0.011795343669791996,0.0,0.0,0.0
H0_Huber,osi_target_t01h,42023,2,143,0.00929896869045026,0.004910727222847015,0.012365327074954314,0.002357065032850138,0.00929896869045026,0.0,0.0,0.0
H0_Huber,osi_target_t01h,42025,1,143,0.0009246663959820098,0.0004733152486388889,0.0001222661359717453,9.468906951621313e-05,0.0009246663959820098,0.0,0.0,0.0
H0_Huber,osi_target_t01h,42027,0,143,0.0012422538913247527,0.0008210797880682188,0.00022067684646314318,3.9315285681375405e-05,0.0012422538913247527,0.0,0.0,0.0
H0_Huber,osi_target_t01h,42029,1,143,0.010815246381352825,0.004849817403370295,0.016726646263379247,-0.0044285365772862035,0.010815246381352825,0.0,0.0,0.0
H0_Huber,osi_target_t01h,42031,4,143,0.011585881053693018,0.006963811853391368,0.019195267490016165,0.0032796866565009135,0.011585881053693018,0.0,0.0,0.0
H0_Huber,osi_target_t01h,42033,2,143,0.004797975338850719,0.0032350330070704536,0.0032919411313674122,0.0007049715205560724,0.004797975338850719,0.0,0.0,0.0
H0_Huber,osi_target_t01h,42035,3,143,0.004835979835268283,0.0029174082282862716,0.003344298238298368,0.0008058488987386698,0.004835979835268283,0.0,0.0,0.0
H0_Huber,osi_target_t01h,42039,1,143,0.012530285888140109,0.006314854203928766,0.022452153214708812,-0.0057234258687484454,0.012530285888140109,0.0,0.0,0.0
H0_Huber,osi_target_t01h,42041,3,143,0.002205116431888457,0.0010703696906170911,0.0006953430023803805,0.0009875697837311162,0.002205116431888457,0.0,0.0,0.0
H0_Huber,osi_target_t01h,42043,0,143,0.0015023973682790127,0.0009456585760817037,0.00032277929286627353,0.000824790727097458,0.0015023973682790127,0.0,0.0,0.0
H0_Huber,osi_target_t01h,42045,2,143,0.001992267600577961,0.0008649944225367516,0.0005675856175007112,0.0007489105064528355,0.001992267600577961,0.0,0.0,0.0
