cv_seed,horizon,target_day,fipsCode,excluded_fold,variant,rank,matched_fips,matched_fold,distance,control_osi_peak,control_osi_mean,control_P_peak,control_P_mean,control_N_peak,control_R_mean,control_D_mean,control_P_hours_gt05,control_T_rmse,control_S_rmse,query_osi_peak,query_osi_mean,query_P_peak,query_P_mean,query_N_peak,query_R_mean,query_D_mean,query_P_hours_gt05,query_T_rmse,query_S_rmse,control_low_loss,control_high_loss,control_countyName,control_stateAbbr
42,1,3,39117,4,source_cache_rank,2,39077,1,0.21500063273627748,0.0533,0.03270434782608696,0.077133271,0.047400342565217385,0.000899312,0.00341177,0.055939542521739126,12,0.00824785847929445,,0.5087,0.29458260869565217,0.7618563,0.4307427500434784,0.012755275,0.02832768439130435,0.49583255900000006,23,0.026957921002190844,,False,True,Huron County,OH
42,1,3,39117,4,source_cache_rank,3,39159,3,0.2215491183814461,0.0152,0.008530434782608697,0.019612662,0.011963788043478264,0.002424957,0.0009638594347826086,0.01474301704347826,0,0.0070870628876489065,,0.5087,0.29458260869565217,0.7618563,0.4307427500434784,0.012755275,0.02832768439130435,0.49583255900000006,23,0.026957921002190844,,False,False,Union County,OH
42,1,3,39117,4,source_cache_rank,4,39075,3,0.22293971261354628,0.3293,0.24178695652173915,0.50347252,0.3613806573913043,0.002543657,0.013494922739130433,0.3932962780869565,23,0.013867445153328545,,0.5087,0.29458260869565217,0.7618563,0.4307427500434784,0.012755275,0.02832768439130435,0.49583255900000006,23,0.026957921002190844,,False,True,Holmes County,OH
42,1,3,39117,4,source_cache_rank,5,39101,0,0.2301909160374701,0.065,0.032230434782608695,0.108093257,0.047619941608695655,0.007130335,0.004271373347826087,0.052647865608695665,9,0.008602220110032577,,0.5087,0.29458260869565217,0.7618563,0.4307427500434784,0.012755275,0.02832768439130435,0.49583255900000006,23,0.026957921002190844,,False,True,Marion County,OH
42,6,3,42131,3,context,1,42067,4,0.419739724066481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030801122627992943,,0.1648,0.021305555555555557,0.306100161,0.02588393661111111,0.101808033,0.017918531,0.025883937055555556,2,0.04435760665088384,,True,False,Juniata County,PA
42,6,3,42131,3,context,2,42081,0,0.4697309356648759,0.001,0.0004111111111111111,0.001730666,0.0006065695555555555,0.000348456,0.00012582816666666666,0.0006137786666666666,0,0.003400113465501072,,0.1648,0.021305555555555557,0.306100161,0.02588393661111111,0.101808033,0.017918531,0.025883937055555556,2,0.04435760665088384,,True,False,Lycoming County,PA
42,6,3,42131,3,context,3,42113,2,0.5037677658723214,0.0002,1.1111111111111112e-05,0.0,0.0,0.0,0.0,5.1977444444444444e-05,0,0.00937909035311172,,0.1648,0.021305555555555557,0.306100161,0.02588393661111111,0.101808033,0.017918531,0.025883937055555556,2,0.04435760665088384,,True,False,Sullivan County,PA
42,6,3,42131,3,context,4,42119,4,0.5124375962663122,0.0008,8.333333333333333e-05,0.001463373,8.12985e-05,0.000487791,8.12985e-05,8.129833333333333e-05,0,0.002606731959724308,,0.1648,0.021305555555555557,0.306100161,0.02588393661111111,0.101808033,0.017918531,0.025883937055555556,2,0.04435760665088384,,True,False,Union County,PA
42,6,3,42131,3,context,5,42027,0,0.5593771905466676,0.0042,0.0022388888888888892,0.006488835,0.003177275222222222,3.36e-05,0.00035328750000000004,0.004037221666666666,0,0.001014370122101548,,0.1648,0.021305555555555557,0.306100161,0.02588393661111111,0.101808033,0.017918531,0.025883937055555556,2,0.04435760665088384,,True,False,Centre County,PA
42,6,3,42131,3,source_cache_rank,1,42079,1,0.17611260098176423,0.0002,4.4444444444444447e-05,0.000376928,6.831699999999999e-05,0.000179041,3.663861111111111e-05,6.565972222222222e-05,0,0.0008884590026899874,,0.1648,0.021305555555555557,0.306100161,0.02588393661111111,0.101808033,0.017918531,0.025883937055555556,2,0.04435760665088384,,True,False,Luzerne County,PA
