cv_seed,horizon,fipsCode,n,T_sse,T_rmse,T_bias,truth_mean,truth_max,S_sse,S_rmse,S_bias,common_score,under_common_score,over_common_score,both_under_n,both_under_T_sse,both_under_S_sse,both_over_n,both_over_T_sse,both_over_S_sse,opposite_n,opposite_T_sse,opposite_S_sse,zero_error_n,zero_error_T_sse,zero_error_S_sse,countyName,stateAbbr,rank
42,1,39161,143,0.005657479248621922,0.006289896020476415,-0.0007104871352460673,0.008295104895104896,0.08,,,,,,,,,,,,,,,,,,,Van Wert County,OH,71
42,1,39163,143,0.0013244588703514972,0.003043345222336461,0.0006949954553192228,0.0020818181818181816,0.02,,,,,,,,,,,,,,,,,,,Vinton County,OH,142
42,1,39165,143,9.31619223765007e-05,0.0008071443332272389,5.118972533510223e-05,0.00040979020979020977,0.0043,,,,,,,,,,,,,,,,,,,Warren County,OH,237
42,1,39167,143,0.0013194929038786926,0.003037634458595504,-0.0003617828553991125,0.0016972027972027967,0.0236,,,,,,,,,,,,,,,,,,,Washington County,OH,144
42,1,39169,143,0.009869572057045207,0.008307706447203316,-0.0035261423952435834,0.013512587412587413,0.08,,,,,,,,,,,,,,,,,,,Wayne County,OH,59
42,1,39171,143,0.014590735647132508,0.010101144312082371,0.006146356679348397,0.0007958041958041959,0.0096,,,,,,,,,,,,,,,,,,,Williams County,OH,44
42,1,39173,143,0.004810173478731856,0.00579979109747486,0.003852008513559086,0.00402027972027972,0.0457,,,,,,,,,,,,,,,,,,,Wood County,OH,78
42,1,39175,143,0.0015076469286741127,0.003246996383614183,0.0007657952079300694,0.002951748251748252,0.027,,,,,,,,,,,,,,,,,,,Wyandot County,OH,130
42,1,42005,143,0.022679473396836812,0.01259355851464533,-0.007686917261830093,0.02402937062937063,0.1269,,,,,,,,,,,,,,,,,,,Armstrong County,PA,28
42,1,42007,143,0.009623454093593845,0.00820346766760152,-0.005227122186029784,0.021848251748251748,0.1203,,,,,,,,,,,,,,,,,,,Beaver County,PA,62
42,1,42009,143,0.012104508440906114,0.009200375653970257,0.0015848521886042692,0.009205594405594406,0.0868,,,,,,,,,,,,,,,,,,,Bedford County,PA,51
42,1,42013,143,0.00029783211771978253,0.0014431708429553727,0.0005311048236714531,0.0011307692307692308,0.0104,,,,,,,,,,,,,,,,,,,Blair County,PA,206
42,1,42015,143,0.0021254617506666195,0.003855303993951781,-0.00023458812311116575,0.0021517482517482514,0.0138,,,,,,,,,,,,,,,,,,,Bradford County,PA,116
42,1,42019,143,0.0016976666221104396,0.003445547062545056,-0.0011417116307873918,0.016411888111888113,0.1029,,,,,,,,,,,,,,,,,,,Butler County,PA,124
42,1,42021,143,0.019688930396243646,0.011733917842978097,0.004334957680572028,0.007176923076923077,0.0556,,,,,,,,,,,,,,,,,,,Cambria County,PA,34
42,1,42023,143,0.01310640997828057,0.009573568646608884,0.003200666661844976,0.002969230769230769,0.0729,,,,,,,,,,,,,,,,,,,Cameron County,PA,47
42,1,42025,143,0.00012736821698119459,0.0009437620632534059,0.00013868050981178173,0.0008748251748251747,0.0079,,,,,,,,,,,,,,,,,,,Carbon County,PA,233
42,1,42027,143,0.00019841914313138882,0.0011779416180202893,-8.768510450996078e-05,0.0012307692307692306,0.0069,,,,,,,,,,,,,,,,,,,Centre County,PA,222
42,1,42029,143,0.01694636894704002,0.010886049630271186,-0.004466740356020373,0.0050999999999999995,0.0571,,,,,,,,,,,,,,,,,,,Chester County,PA,41
42,1,42031,143,0.01890043041725546,0.011496557836096398,0.0030583987833481614,0.009016083916083916,0.1391,,,,,,,,,,,,,,,,,,,Clarion County,PA,37
42,1,42033,143,0.003235604045803252,0.004756742763583486,0.0007955943722034885,0.010734265734265735,0.071,,,,,,,,,,,,,,,,,,,Clearfield County,PA,94
42,1,42035,143,0.002860148571027103,0.004472252112552633,0.0008150910288583389,0.001704895104895105,0.0172,,,,,,,,,,,,,,,,,,,Clinton County,PA,101
42,1,42039,143,0.021870606356794588,0.012366943971505966,-0.00546240644197354,0.010111888111888111,0.0635,,,,,,,,,,,,,,,,,,,Crawford County,PA,29
42,1,42041,143,0.0006132904249630393,0.002070928349922026,0.0009329025077992709,0.0004006993006993006,0.0074,,,,,,,,,,,,,,,,,,,Cumberland County,PA,178
42,1,42043,143,0.00026253631033652846,0.0013549606097970515,0.0004957688160105172,0.0004664335664335665,0.0105,,,,,,,,,,,,,,,,,,,Dauphin County,PA,214
