horizon,outer_fold,selection_type,allowed_folds,selected_alpha,alpha,n,rmse,mae,sse
osi_target_t48h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.35,0.2,18432,0.007782742037397833,0.002120349908963346,1.116446028976362
osi_target_t48h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.35,0.35,18432,0.007656603110461487,0.002093842860088987,1.0805496641948809
osi_target_t48h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.35,0.5,18432,0.007660237147710287,0.0021128572393072933,1.0815756255896487
osi_target_t48h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.35,0.75,18432,0.007942187157165867,0.0022036292806989983,1.1626599046247506
osi_target_t48h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.35,1.0,18432,0.008524748595080655,0.0023334088264268128,1.3394781132471636
osi_target_t48h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.5,0.0,18336,0.005640992121031416,0.0018921801052629592,0.5834660441204982
osi_target_t48h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.5,0.05,18336,0.005585078233203071,0.0018699300835005334,0.5719566608986328
osi_target_t48h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.5,0.1,18336,0.00553522087445074,0.0018507997175997084,0.5617906554845227
osi_target_t48h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.5,0.2,18336,0.005454384270930626,0.001821391583064603,0.5455016433619491
osi_target_t48h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.5,0.35,18336,0.005383788010855122,0.001797382596703452,0.5314721384690904
osi_target_t48h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.5,0.5,18336,0.005373469306404354,0.0017880908053849046,0.5294368248856426
osi_target_t48h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.5,0.75,18336,0.005483997171899134,0.0018060056384967406,0.5514409892589083
osi_target_t48h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.5,1.0,18336,0.005724004823227457,0.0018696349693454342,0.6007649435826489
osi_target_t48h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.35,0.0,18336,0.008281222914025877,0.0021883118846769446,1.2574581805239708
osi_target_t48h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.35,0.05,18336,0.008221116421912927,0.0021670739125589406,1.2392707437624446
osi_target_t48h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.35,0.1,18336,0.008170651185948336,0.0021495467845195604,1.2241029401535204
osi_target_t48h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.35,0.2,18336,0.008103518119533321,0.0021274770096660358,1.2040702204318587
osi_target_t48h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.35,0.35,18336,0.008085490670779657,0.0021114384004797477,1.1987189225248887
