horizon,comparison,fipsCode,countyName,improved_splits,worsened_splits,minimum_rmse_change_pct,maximum_rmse_change_pct,mean_sse_reduction_diagnostic_only
osi_target_t01h,E1_minus_E0,42115,Susquehanna County,2,0,-0.6765868331482738,0.0,1.599359676808983e-05
osi_target_t01h,E1_minus_E0,42119,Union County,2,0,-0.44007392137327406,0.0,7.374469902798481e-06
osi_target_t01h,E1_minus_E0,42121,Venango County,2,1,-2.489249115981551,1.4761624198642131,0.0007378028268227541
osi_target_t01h,E1_minus_E0,42125,Washington County,2,1,-1.4054851562148696,3.7880727651503188,-6.033882655181779e-07
osi_target_t01h,E1_minus_E0,42127,Wayne County,1,0,-1.0550668655805784,0.0,6.710035401374301e-06
osi_target_t01h,E1_minus_E0,42129,Westmoreland County,1,1,-1.1592729713705285,3.4145010022395006,-6.847769591006476e-05
osi_target_t01h,E1_minus_E0,42131,Wyoming County,1,1,-0.48945001299010027,0.49883320365922135,1.8370471511440039e-06
osi_target_t01h,E1_minus_E0,42133,York County,1,1,-4.40107515895638,0.6442514317567927,1.930934436460141e-05
osi_target_t01h,E1_minus_E0,54007,Braxton County,0,3,0.0798463660084403,0.4455653831462625,-0.0004050337298475241
osi_target_t01h,E1_minus_E0,54009,Brooke County,1,2,-0.03495444679787463,0.8014142981484618,-0.000452070920917029
osi_target_t01h,E1_minus_E0,54013,Calhoun County,1,2,-0.05931559416535448,0.2326485338026707,-0.00041836399030501886
osi_target_t01h,E1_minus_E0,54015,Clay County,1,2,-0.6200734605271707,0.042017058590038125,0.0006633663146022409
osi_target_t01h,E1_minus_E0,54019,Fayette County,3,0,-1.2112846432057012,-0.2363013209189746,8.13546390132774e-05
osi_target_t01h,E1_minus_E0,54023,Grant County,1,2,-2.4219723782191283,16.35091555569175,-1.65728448692422e-05
osi_target_t01h,E1_minus_E0,54025,Greenbrier County,2,0,-5.903559967639804,0.0,1.5486712821480482e-05
osi_target_t01h,E1_minus_E0,54027,Hampshire County,0,3,4.046050672385593,7.286195522891892,-8.397856478239665e-05
osi_target_t01h,E1_minus_E0,54029,Hancock County,1,2,-0.8798107530181398,0.5489758429755742,4.391311259968958e-05
osi_target_t01h,E1_minus_E0,54031,Hardy County,1,2,-5.429729274494289,6.622554351152554,6.302576156640186e-05
osi_target_t01h,E1_minus_E0,54033,Harrison County,0,1,0.0,0.27388445646345794,-3.194416124867837e-06
osi_target_t01h,E1_minus_E0,54035,Jackson County,1,2,-0.4947673639459138,0.4892887356767073,-3.866974033700857e-06
osi_target_t01h,E1_minus_E0,54037,Jefferson County,2,1,-1.1550460123775586,0.024230910910416625,1.0834156783137835e-05
osi_target_t01h,E1_minus_E0,54039,Kanawha County,1,0,-2.9555954636186876,0.0,1.4695561715052373e-05
osi_target_t01h,E1_minus_E0,54041,Lewis County,2,1,-0.2325415183062174,0.03137468944984789,5.8454530168744e-05
osi_target_t01h,E1_minus_E0,54043,Lincoln County,0,2,0.0,0.23329131372493705,-2.4868556301424424e-05
osi_target_t01h,E1_minus_E0,54045,Logan County,1,2,-1.6790644688877143,0.7954317513354514,4.3963669627800996e-05
osi_target_t01h,E1_minus_E0,54047,McDowell County,1,0,-0.4870659067885752,0.0,1.170085594587398e-05
osi_target_t01h,E1_minus_E0,54053,Mason County,1,2,-0.9794745496483626,3.0576754706719944,-1.6088278354560378e-05
osi_target_t01h,E1_minus_E0,54055,Mercer County,0,3,0.6343746614566381,1.7174403036440022,-1.4179267555532938e-05
osi_target_t01h,E1_minus_E0,54057,Mineral County,2,1,-2.8019793903906076,1.4496192845542266,5.112024461611869e-06
osi_target_t01h,E1_minus_E0,54059,Mingo County,0,3,0.12904751327749153,1.0553267449822101,-0.0004117270718923226
osi_target_t01h,E1_minus_E0,54063,Monroe County,3,0,-1.68481127574035,-0.6354912367929733,1.3235541349714157e-05
osi_target_t01h,E1_minus_E0,54067,Nicholas County,1,0,-0.9709478836248286,0.0,2.674424841799146e-05
osi_target_t01h,E1_minus_E0,54069,Ohio County,0,1,0.0,2.9424273835678916,-0.00017208784969471118
osi_target_t01h,E1_minus_E0,54071,Pendleton County,1,1,-3.536123498988386,1.5686137128871014,0.0002016708736530317
osi_target_t01h,E1_minus_E0,54073,Pleasants County,1,1,-1.137784298234501,0.1965236926613212,3.120860582111262e-05
osi_target_t01h,E1_minus_E0,54075,Pocahontas County,0,3,0.24897010094322436,6.041689660129879,-0.00011375837086019474
osi_target_t01h,E1_minus_E0,54077,Preston County,1,2,-0.9967016154341368,0.8031182713557516,-1.4373017580292652e-06
osi_target_t01h,E1_minus_E0,54079,Putnam County,0,1,0.0,0.5671750787762386,-7.213190374413806e-07
osi_target_t01h,E1_minus_E0,54081,Raleigh County,2,1,-3.8434127608146684,6.775684129726467,-8.534472406619738e-06
osi_target_t01h,E1_minus_E0,54083,Randolph County,1,2,-1.4599690121832487,0.45826479320221214,6.102586735902358e-05
osi_target_t01h,E1_minus_E0,54085,Ritchie County,1,1,-0.024306320565103956,0.5452728614262714,-6.731690500941477e-05
osi_target_t01h,E1_minus_E0,54087,Roane County,1,1,-0.270409212571876,1.0098643067383284,-0.00022751444301584838
osi_target_t01h,E1_minus_E0,54089,Summers County,1,1,-0.15177073365358895,1.2479924412469146,-4.066397324731617e-06
