case,reference,pair,horizon,group,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
G2,G0,G2_minus_G0,48,all,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
G2,G0,G2_minus_G0,48,early_73_95,0,,0.0,,,,,,0.0
G2,G0,G2_minus_G0,48,late_96_215,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
G2,G0,G2_minus_G0,48,test_like,16008,0.008507866544396744,1.1587197605413444,0.002355098459429913,-0.00040273058079918475,0.008507866544396744,0.0,0.0,0.0
G2,G0,G2_minus_G0,48,not_test_like,6936,0.005349966882878165,0.1985232022137866,0.0019578297844637335,0.0004114904504324736,0.005349966882878165,0.0,0.0,0.0
G2,G0,G2_minus_G0,48,all_except_Forest,22848,0.007693970652084993,1.352537269060277,0.002222268011495333,-0.00016230157973116252,0.007693970652084993,0.0,0.0,0.0
G2,G0,G2_minus_G0,48,test_like_except_Forest,15912,0.008516147332423101,1.1540140668464904,0.0023375359566116705,-0.00041241605441787567,0.008516147332423101,0.0,0.0,0.0
G2,G0,G2_minus_G0,48,g_zero,12672,0.008239216555809266,0.8602347847550245,0.0021052377390484247,-0.0004022190100579969,0.008239216555809266,0.0,0.0,0.0
G2,G0,G2_minus_G0,48,g_positive,10272,0.006955914931277051,0.49700817800010655,0.002395088677411688,0.0001464277572255864,0.006955914931277051,0.0,0.0,0.0
G2,G0,G2_minus_G0,48,g_positive_low_early_damage,4032,0.00544439200155404,0.11951414200287315,0.0017912540562451435,0.00043481969875470354,0.00544439200155404,0.0,0.0,0.0
G2,G1,G2_minus_G1,48,all,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
G2,G1,G2_minus_G1,48,early_73_95,0,,0.0,,,,,,0.0
G2,G1,G2_minus_G1,48,late_96_215,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
G2,G1,G2_minus_G1,48,test_like,16008,0.008507866544396744,1.1587197605413444,0.002355098459429913,-0.00040273058079918475,0.008507866544396744,0.0,0.0,0.0
G2,G1,G2_minus_G1,48,not_test_like,6936,0.005349966882878165,0.1985232022137866,0.0019578297844637335,0.0004114904504324736,0.005349966882878165,0.0,0.0,0.0
G2,G1,G2_minus_G1,48,all_except_Forest,22848,0.007693970652084993,1.352537269060277,0.002222268011495333,-0.00016230157973116252,0.007693970652084993,0.0,0.0,0.0
G2,G1,G2_minus_G1,48,test_like_except_Forest,15912,0.008516147332423101,1.1540140668464904,0.0023375359566116705,-0.00041241605441787567,0.008516147332423101,0.0,0.0,0.0
G2,G1,G2_minus_G1,48,g_zero,12672,0.008239216555809266,0.8602347847550245,0.0021052377390484247,-0.0004022190100579969,0.008239216555809266,0.0,0.0,0.0
G2,G1,G2_minus_G1,48,g_positive,10272,0.006955914931277051,0.49700817800010655,0.002395088677411688,0.0001464277572255864,0.006955914931277051,0.0,0.0,0.0
G2,G1,G2_minus_G1,48,g_positive_low_early_damage,4032,0.00544439200155404,0.11951414200287315,0.0017912540562451435,0.00043481969875470354,0.00544439200155404,0.0,0.0,0.0
