model,horizon,target_day,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct
V18_C0,osi_target_t24h,2026-03-16,0.01012804258693683,0.004532014454661554,5736,0.25494010510975573,0.004500579696730026,0.047257768856059014,13.47629009762901
V18_C0,osi_target_t24h,2026-03-17,0.010249121265041503,0.003567491861173071,5736,0.4426364308734655,0.003087603144917219,0.053250693140791616,37.37796373779637
V18_C0,osi_target_t24h,2026-03-18,0.005426538191761959,0.000948253329279937,5736,-0.01649446701843793,0.0006743228819666365,0.009164881413012022,67.66039051603904
V18_C0,osi_target_t24h,2026-03-19,0.0012681855912552197,0.0005924293209800457,5736,-0.8230445382570764,0.0004950332885496674,0.005668758147301095,73.6576011157601
V18_C0,osi_target_t48h,2026-03-16,0.009712781865481315,0.0042927450280723575,5736,0.31478411938881634,0.0042325873977313135,0.060123484256754844,13.023012552301255
V18_C0,osi_target_t48h,2026-03-17,0.01041770063817867,0.0035558445122804636,5736,0.4241504096693649,0.0029737892333449685,0.06160437370759144,36.000697350069736
V18_C0,osi_target_t48h,2026-03-18,0.005446653920562656,0.0009231980467638727,5736,-0.02404455694642449,0.0006228771852558547,0.01089914703178697,63.877266387726635
V18_C0,osi_target_t48h,2026-03-19,0.001102579293242943,0.0004404590746905397,5736,-0.37800665152854895,0.00032374118458229775,0.00430878916784495,74.70362622036262
V18_C1_E0,osi_target_t01h,2026-03-14,0.022220898716530213,0.007320965393066415,5497,0.7846111200770314,0.01903223864807659,0.2926764026968674,37.42041113334546
V18_C1_E0,osi_target_t01h,2026-03-15,0.010644114483914124,0.004877058240062942,5736,0.6147990083561976,0.0070595717169468575,0.13199204070023265,31.450488145048816
V18_C1_E0,osi_target_t01h,2026-03-16,0.010070203028018945,0.004456832692887753,5736,0.26342563115013984,0.004688906403220366,0.05511144275451657,17.311715481171547
V18_C1_E0,osi_target_t01h,2026-03-17,0.010955235564657963,0.003587387626357219,5736,0.3631916400574342,0.00295295549994459,0.04970136673505215,48.27405857740586
V18_C1_E0,osi_target_t01h,2026-03-18,0.005444283935028889,0.0007662332935279695,5736,-0.02315357220563863,0.00041392830530315237,0.015970856739762958,83.40306834030683
V18_C1_E0,osi_target_t01h,2026-03-19,0.0011426928671456902,0.00031112703826929807,5736,-0.4800987188706898,0.00017584230010116094,0.020977340737016122,91.07391910739192
V18_C1_E0,osi_target_t06h,2026-03-14,0.018860242885441372,0.006939544435548182,4302,0.7977392972324977,0.01627134862876148,0.257321594928204,31.985123198512323
V18_C1_E0,osi_target_t06h,2026-03-15,0.010931622052553784,0.005001227521292786,5736,0.593708685177917,0.007039329104502531,0.15798418564320596,27.02231520223152
V18_C1_E0,osi_target_t06h,2026-03-16,0.010205092319820698,0.004486394350321626,5736,0.24356080297244442,0.004738228185566162,0.05106588041312794,13.127615062761505
V18_C1_E0,osi_target_t06h,2026-03-17,0.010663429989437596,0.0035542514566010036,5736,0.39666411179281624,0.002996365041980231,0.05135753027818658,42.81729428172943
V18_C1_E0,osi_target_t06h,2026-03-18,0.005473942360683405,0.0008738798549318489,5736,-0.03433145306908414,0.0005418461651171155,0.01443719888225434,78.53905160390516
V18_C1_E0,osi_target_t06h,2026-03-19,0.001164735112905132,0.0003669566909362961,5736,-0.5377508870214904,0.0002460699181977049,0.006546481164006671,87.86610878661088
V18_C1_E0,osi_target_t24h,2026-03-15,0.01084090737647383,0.0050324002485792815,5736,0.600423820406481,0.006531084027872422,0.12131757109497565,22.995118549511854
V18_C1_E0,osi_target_t24h,2026-03-16,0.009997721720294554,0.00445666849384761,5736,0.2739906100339182,0.004480313541345398,0.04960256236378494,12.377963737796374
V18_C1_E0,osi_target_t24h,2026-03-17,0.010084054245558301,0.0035227389807651133,5736,0.4604450741331132,0.003118689384285135,0.05629606997465441,37.86610878661088
V18_C1_E0,osi_target_t24h,2026-03-18,0.005442997052881132,0.000993364612302338,5736,-0.022669937454559586,0.0007253926158103406,0.009362921664478864,66.40516039051604
V18_C1_E0,osi_target_t24h,2026-03-19,0.001314081426213249,0.0006188929845939907,5736,-0.9573847638020034,0.0005239335323816142,0.008950551383910422,73.50069735006973
V18_C1_E0,osi_target_t48h,2026-03-16,0.00966778774700444,0.004249302265056616,5736,0.32111789150738224,0.004211433294891543,0.06179903689295654,13.04044630404463
V18_C1_E0,osi_target_t48h,2026-03-17,0.010314311743652249,0.0035494421807903136,5736,0.43552355703756285,0.0030240523364759445,0.061932949881020403,35.19874476987448
V18_C1_E0,osi_target_t48h,2026-03-18,0.0054288426105468385,0.000944660126094554,5736,-0.017357973816490846,0.0006586498314372177,0.010037252414930808,64.24337517433752
V18_C1_E0,osi_target_t48h,2026-03-19,0.0011476684022981218,0.0004832457490896062,5736,-0.4930161287337338,0.00037141161204624136,0.003634718702776387,74.3723849372385
V18_C3,osi_target_t01h,2026-03-14,0.022038915928468662,0.007277729957566081,5497,0.7881246199590235,0.01892192848185591,0.2926764026968674,34.52792432235765
V18_C3,osi_target_t01h,2026-03-15,0.010572394360004338,0.004886182176397557,5736,0.6199724943349215,0.006876029451176222,0.13341913184272436,23.23919107391911
V18_C3,osi_target_t01h,2026-03-16,0.009829843568113655,0.004304667789577551,5736,0.2981676828276649,0.0045445777759734515,0.048326766063667426,9.431659693165969
V18_C3,osi_target_t01h,2026-03-17,0.010400683990110529,0.0034810556315030368,5736,0.4260301002295913,0.0030214043223857926,0.05405995210824589,35.87866108786611
V18_C3,osi_target_t01h,2026-03-18,0.005402017670366318,0.0008268824770264367,5736,-0.007328895866915319,0.0005395883524170606,0.008252734682214246,70.39748953974896
V18_C3,osi_target_t01h,2026-03-19,0.0010704083404650662,0.0003944104558657538,5736,-0.2987651260071871,0.0002843706909633813,0.005424307853274119,79.53277545327755
V18_C3,osi_target_t06h,2026-03-14,0.018816901895799633,0.006782494457740367,4302,0.7986678225650566,0.016374150406843643,0.2724774255106815,35.28591352859135
V18_C3,osi_target_t06h,2026-03-15,0.010572394360004338,0.004886182176397557,5736,0.6199724943349215,0.006876029451176222,0.13341913184272436,23.23919107391911
V18_C3,osi_target_t06h,2026-03-16,0.009829843568113655,0.004304667789577551,5736,0.2981676828276649,0.0045445777759734515,0.048326766063667426,9.431659693165969
V18_C3,osi_target_t06h,2026-03-17,0.010400683990110529,0.0034810556315030368,5736,0.4260301002295913,0.0030214043223857926,0.05405995210824589,35.87866108786611
V18_C3,osi_target_t06h,2026-03-18,0.005402017670366318,0.0008268824770264367,5736,-0.007328895866915319,0.0005395883524170606,0.008252734682214246,70.39748953974896
