feature_set,component,candidate,horizon,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct
profile,N_t,huber,osi_target_t01h,0.00426717822943568,0.000898513208529479,34177,0.10552255668882615,0.0006363762261368286,0.027897784289637444,24.147818708488163
profile,N_t,huber,osi_target_t06h,0.0037204715240219317,0.0008318029102561705,32982,0.08152265451049989,0.000563498761588001,0.023027291072426053,9.935722515311381
profile,N_t,huber,osi_target_t24h,0.0037575952851821234,0.0008676936587161204,28680,0.09319711114679097,0.0006076362275263513,0.017441837815231283,12.022315202231521
profile,N_t,huber,osi_target_t48h,0.00344272859769716,0.0006541962379911719,22944,0.07812447027814984,0.000422338417706362,0.019881620418484437,10.852510460251045
profile,N_t,tweedie,osi_target_t01h,0.0043545048814326425,0.0006437139429706772,34177,0.06853746545634165,0.00027614016470061835,0.02077297337433283,0.0
profile,N_t,tweedie,osi_target_t06h,0.0037573895751643396,0.0006080817217072388,32982,0.06320420802700644,0.00025705958964293015,0.020335501290211375,0.0
profile,N_t,tweedie,osi_target_t24h,0.0037842271126756074,0.0006260499888111542,28680,0.08029769182657287,0.0002722952517688143,0.020491776243769307,0.0
profile,N_t,tweedie,osi_target_t48h,0.003458927998238228,0.00047813322810572235,22944,0.06942848084848496,0.000191319798953533,0.022514109770200533,0.0
profile,N_t,hurdle,osi_target_t01h,0.004400451306274523,0.0006410844175971274,34177,0.048777165677302725,0.0002410148245866733,0.013752239894874844,0.0
profile,N_t,hurdle,osi_target_t06h,0.0037789629920565175,0.0006045565106610545,32982,0.05241591776910837,0.00022923032520225973,0.01016981034459285,0.0
profile,N_t,hurdle,osi_target_t24h,0.0038305198143522476,0.0006212900002870171,28680,0.0576585014206078,0.0002373127035930544,0.014760839470032993,0.0
profile,N_t,hurdle,osi_target_t48h,0.003471370417611952,0.000473330507245457,22944,0.06272155532504686,0.0001663647197328262,0.013337967502185147,0.0
profile,D_t,huber,osi_target_t01h,0.017349839511146076,0.005373809372483597,34177,0.7673719864466051,0.009268209658883255,0.4836314397079848,17.538110425139713
profile,D_t,huber,osi_target_t06h,0.01610495862636507,0.005363278102154488,32982,0.731773372462295,0.00804927213047532,0.4362789768344115,13.12837305196774
profile,D_t,huber,osi_target_t24h,0.011965426954501864,0.004353751551873088,28680,0.520009225108374,0.004769498600375097,0.19098498433610928,7.552301255230126
profile,D_t,huber,osi_target_t48h,0.010870149743212584,0.00364263378441374,22944,0.3848291814538014,0.0033205648422222397,0.07811444054820621,8.416143654114364
profile,D_t,l2,osi_target_t01h,0.017349839511146076,0.005373809372483597,34177,0.7673719864466051,0.009268209658883255,0.4836314397079848,17.538110425139713
profile,D_t,l2,osi_target_t06h,0.01610495862636507,0.005363278102154488,32982,0.731773372462295,0.00804927213047532,0.4362789768344115,13.12837305196774
profile,D_t,l2,osi_target_t24h,0.011965426954501864,0.004353751551873088,28680,0.520009225108374,0.004769498600375097,0.19098498433610928,7.552301255230126
profile,D_t,l2,osi_target_t48h,0.010870149743212584,0.00364263378441374,22944,0.3848291814538014,0.0033205648422222397,0.07811444054820621,8.416143654114364
profile,D_t,weighted_l2,osi_target_t01h,0.01739762394529831,0.005780262470176347,34177,0.766088826948663,0.009764933861960487,0.45703921243157636,17.15773765982971
profile,D_t,weighted_l2,osi_target_t06h,0.01652061561018357,0.005721589470288602,32982,0.7177492431219448,0.008696031775151901,0.4302686284478974,18.082590503911224
profile,D_t,weighted_l2,osi_target_t24h,0.012618879798332726,0.004701011481581776,28680,0.4661514126825044,0.0054634115915716715,0.20891085719709174,15.14644351464435
profile,D_t,weighted_l2,osi_target_t48h,0.011074294990223554,0.004069749285918697,22944,0.36150595969906696,0.004034378581087717,0.07816761673589202,16.89766387726639
profile,R_t,huber,osi_target_t01h,0.0040717591372742565,0.0011240410670111981,34177,0.1614669139907532,0.0009322294866835584,0.02109695610416085,13.743160605085292
profile,R_t,huber,osi_target_t06h,0.004047605959615675,0.0010794342299836391,32982,0.14624991553238986,0.0008875623762802969,0.019630464922414926,9.114062215754046
profile,R_t,huber,osi_target_t24h,0.0034564120045368556,0.0009238546623329639,28680,0.07262089900529922,0.0006781369777949859,0.013354120020276708,6.028591352859135
profile,R_t,huber,osi_target_t48h,0.0032859819781058015,0.0007747472665703457,22944,0.05206481617091385,0.0005388237685140266,0.010193090056761552,4.345362622036262
profile,R_t,tweedie,osi_target_t01h,0.004104158114905839,0.000872120826487839,34177,0.14806941178117328,0.0005431925354058767,0.01839021938339814,0.0
profile,R_t,tweedie,osi_target_t06h,0.00407347796515912,0.0008489841214453619,32982,0.13530081608134525,0.0005312433308775894,0.019091929055509913,0.0
profile,R_t,tweedie,osi_target_t24h,0.003465202973242719,0.000687284248768108,28680,0.06789754532297143,0.00035216851717513934,0.011979882865482615,0.0
profile,R_t,tweedie,osi_target_t48h,0.0032971302643091103,0.000575133782253068,22944,0.045621823193630395,0.00026109850263585316,0.010213798645623533,0.0
profile,R_t,hurdle,osi_target_t01h,0.004165670064101566,0.0008587230224481054,34177,0.1223410567783878,0.0004718267394270836,0.014507019364234448,0.0
profile,R_t,hurdle,osi_target_t06h,0.004128218327559594,0.0008258514017187019,32982,0.1119045981564587,0.00043765680486137056,0.0140177449203257,0.0
profile,R_t,hurdle,osi_target_t24h,0.00348623732065957,0.0007032947526529235,28680,0.0565471722986598,0.00034684664090331175,0.008717554237940663,0.0
profile,R_t,hurdle,osi_target_t48h,0.003302335378728354,0.0005796451280671146,22944,0.04260612871112879,0.00025853742673471515,0.0072186627930670814,0.0
