feature_set,component,candidate,horizon,fold,rmse,mae,n,best_rounds,train_q95,classification_rounds,magnitude_rounds,positive_train_rows,positive_valid_rows
base,R_t,hurdle,osi_target_t01h,1,0.0033302951075717827,0.0008528937813461931,6721,,,165.0,99.0,13261.0,3617.0
base,R_t,hurdle,osi_target_t01h,2,0.005337404258008252,0.0009718291865965822,6864,,,200.0,109.0,13720.0,3158.0
base,R_t,hurdle,osi_target_t01h,3,0.0049119302628739285,0.0009420966093498759,6864,,,130.0,168.0,13575.0,3303.0
base,R_t,hurdle,osi_target_t01h,4,0.004138389380053227,0.0008904257291436011,6864,,,261.0,114.0,13445.0,3433.0
base,R_t,hurdle,osi_target_t06h,0,0.0023523322875336405,0.0006367494395756631,6624,,,154.0,136.0,13006.0,3230.0
base,R_t,hurdle,osi_target_t06h,1,0.00325829691282371,0.0008161574691638591,6486,,,150.0,115.0,12757.0,3479.0
base,R_t,hurdle,osi_target_t06h,2,0.005399902036491419,0.0009470699540456209,6624,,,233.0,97.0,13205.0,3031.0
base,R_t,hurdle,osi_target_t06h,3,0.004785155936274107,0.0008846935695484825,6624,,,168.0,154.0,13059.0,3177.0
base,R_t,hurdle,osi_target_t06h,4,0.004084157012213478,0.0008598404367182705,6624,,,159.0,80.0,12917.0,3319.0
base,R_t,hurdle,osi_target_t24h,0,0.001543038438259516,0.0004395645251417346,5760,,,232.0,130.0,10921.0,2631.0
base,R_t,hurdle,osi_target_t24h,1,0.0027980159486057058,0.0007760968157171124,5640,,,166.0,10.0,10623.0,2929.0
base,R_t,hurdle,osi_target_t24h,2,0.00551937588597465,0.0008611306346150734,5760,,,172.0,260.0,10999.0,2553.0
base,R_t,hurdle,osi_target_t24h,3,0.0024474237203789767,0.0006897044129442979,5760,,,134.0,51.0,10910.0,2642.0
base,R_t,hurdle,osi_target_t24h,4,0.0036607172746209384,0.0007096351016589435,5760,,,247.0,140.0,10755.0,2797.0
base,R_t,hurdle,osi_target_t48h,0,0.0013717267027635353,0.0003432478904481069,4608,,,137.0,119.0,8417.0,2007.0
base,R_t,hurdle,osi_target_t48h,1,0.002351889023241993,0.0005564174881735525,4512,,,132.0,43.0,8150.0,2274.0
base,R_t,hurdle,osi_target_t48h,2,0.0055326573120960875,0.0007964995780759929,4608,,,168.0,244.0,8455.0,1969.0
base,R_t,hurdle,osi_target_t48h,3,0.0021868981801232107,0.0005897153192395384,4608,,,95.0,11.0,8398.0,2026.0
base,R_t,hurdle,osi_target_t48h,4,0.0033658165566228995,0.0005881058982006664,4608,,,118.0,50.0,8276.0,2148.0
profile,P_t,huber,osi_target_t01h,0,0.010635431112328113,0.004382610768418005,6864,147.0,,,,,
profile,P_t,huber,osi_target_t01h,1,0.017902302283878867,0.006649431429297914,6721,43.0,,,,,
profile,P_t,huber,osi_target_t01h,2,0.02132622527287108,0.00637682990964132,6864,243.0,,,,,
profile,P_t,huber,osi_target_t01h,3,0.024883186296690153,0.0062736554736861905,6864,388.0,,,,,
profile,P_t,huber,osi_target_t01h,4,0.018107559271220118,0.005315663420338585,6864,464.0,,,,,
profile,P_t,huber,osi_target_t06h,0,0.01003419223602118,0.00409479839336387,6624,175.0,,,,,
profile,P_t,huber,osi_target_t06h,1,0.01611632772145248,0.006288249653144934,6486,31.0,,,,,
profile,P_t,huber,osi_target_t06h,2,0.021342355110316277,0.00618464237725567,6624,700.0,,,,,
profile,P_t,huber,osi_target_t06h,3,0.018406063227646482,0.005864075059149462,6624,109.0,,,,,
profile,P_t,huber,osi_target_t06h,4,0.014037012394295686,0.004550265450177921,6624,425.0,,,,,
profile,P_t,huber,osi_target_t24h,0,0.0072623761816696854,0.0033064122967526636,5760,200.0,,,,,
profile,P_t,huber,osi_target_t24h,1,0.013864039910463023,0.005419435049972291,5640,11.0,,,,,
profile,P_t,huber,osi_target_t24h,2,0.021325308751725926,0.006223579425128105,5760,537.0,,,,,
