model,horizon,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct,family,mask,components_replaced
E1_subset_1000,osi_target_t06h,0.010512561705099621,0.003389107513172991,32982,0.7003310896258659,0.004828756502075626,0.257321594928204,47.541083014977865,E1,1000,P_t
E1_subset_1001,osi_target_t06h,0.01051379097673492,0.0034117069114940712,32982,0.7002610028022134,0.004873152200237119,0.2576487123049928,47.01655448426415,E1,1001,P_t+R_t
E1_subset_1010,osi_target_t06h,0.010512561705099621,0.003389107513172991,32982,0.7003310896258659,0.004828756502075626,0.257321594928204,47.541083014977865,E1,1010,P_t+D_t
E1_subset_1011,osi_target_t06h,0.01051379097673492,0.0034117069114940712,32982,0.7002610028022134,0.004873152200237119,0.2576487123049928,47.01655448426415,E1,1011,P_t+D_t+R_t
E1_subset_1100,osi_target_t06h,0.010521936167580938,0.0033371819121035193,32982,0.6997963983511208,0.004734849414549461,0.257410652750843,49.3117458007398,E1,1100,P_t+N_t
E1_subset_1101,osi_target_t06h,0.010522133537484228,0.003359557964593951,32982,0.6997851358400019,0.004779695243372322,0.2577377701276318,48.668970953853616,E1,1101,P_t+N_t+R_t
E1_subset_1110,osi_target_t06h,0.010521936167580938,0.0033371819121035193,32982,0.6997963983511208,0.004734849414549461,0.257410652750843,49.3117458007398,E1,1110,P_t+N_t+D_t
E1_subset_1111,osi_target_t06h,0.010522133537484228,0.003359557964593951,32982,0.6997851358400019,0.004779695243372322,0.2577377701276318,48.668970953853616,E1,1111,P_t+N_t+D_t+R_t
E1_subset_0000,osi_target_t24h,0.008372823768376926,0.0029248130640176667,28680,0.48607822648387855,0.003075882620338982,0.12131757109497565,42.62900976290098,E1,0000,none
E1_subset_0001,osi_target_t24h,0.008367997134025156,0.0029389138513111657,28680,0.48667057085688237,0.0031013346887614444,0.12134283903376612,42.26638772663877,E1,0001,R_t
E1_subset_0010,osi_target_t24h,0.008372823768376926,0.0029248130640176667,28680,0.48607822648387855,0.003075882620338982,0.12131757109497565,42.62900976290098,E1,0010,D_t
E1_subset_0011,osi_target_t24h,0.008367997134025156,0.0029389138513111657,28680,0.48667057085688237,0.0031013346887614444,0.12134283903376612,42.26638772663877,E1,0011,D_t+R_t
E1_subset_0100,osi_target_t24h,0.008385274959479798,0.002872323426126055,28680,0.48454858814245083,0.002973919887527109,0.12134504252424973,43.81450488145049,E1,0100,N_t
E1_subset_0101,osi_target_t24h,0.008379265662094753,0.002884601164516633,28680,0.4852871187037515,0.002998524476999544,0.1213703104630402,43.48326359832636,E1,0101,N_t+R_t
E1_subset_0110,osi_target_t24h,0.008385274959479798,0.002872323426126055,28680,0.48454858814245083,0.002973919887527109,0.12134504252424973,43.81450488145049,E1,0110,N_t+D_t
E1_subset_0111,osi_target_t24h,0.008379265662094753,0.002884601164516633,28680,0.4852871187037515,0.002998524476999544,0.1213703104630402,43.48326359832636,E1,0111,N_t+D_t+R_t
E1_subset_1000,osi_target_t24h,0.008372823768376926,0.0029248130640176667,28680,0.48607822648387855,0.003075882620338982,0.12131757109497565,42.62900976290098,E1,1000,P_t
E1_subset_1001,osi_target_t24h,0.008367997134025156,0.0029389138513111657,28680,0.48667057085688237,0.0031013346887614444,0.12134283903376612,42.26638772663877,E1,1001,P_t+R_t
E1_subset_1010,osi_target_t24h,0.008372823768376926,0.0029248130640176667,28680,0.48607822648387855,0.003075882620338982,0.12131757109497565,42.62900976290098,E1,1010,P_t+D_t
E1_subset_1011,osi_target_t24h,0.008367997134025156,0.0029389138513111657,28680,0.48667057085688237,0.0031013346887614444,0.12134283903376612,42.26638772663877,E1,1011,P_t+D_t+R_t
E1_subset_1100,osi_target_t24h,0.008385274959479798,0.002872323426126055,28680,0.48454858814245083,0.002973919887527109,0.12134504252424973,43.81450488145049,E1,1100,P_t+N_t
E1_subset_1101,osi_target_t24h,0.008379265662094753,0.002884601164516633,28680,0.4852871187037515,0.002998524476999544,0.1213703104630402,43.48326359832636,E1,1101,P_t+N_t+R_t
E1_subset_1110,osi_target_t24h,0.008385274959479798,0.002872323426126055,28680,0.48454858814245083,0.002973919887527109,0.12134504252424973,43.81450488145049,E1,1110,P_t+N_t+D_t
E1_subset_1111,osi_target_t24h,0.008379265662094753,0.002884601164516633,28680,0.4852871187037515,0.002998524476999544,0.1213703104630402,43.48326359832636,E1,1111,P_t+N_t+D_t+R_t
E1_subset_0000,osi_target_t48h,0.007593428433818521,0.0023066625802577725,22944,0.37699845446964386,0.002066386768712737,0.061932949881020403,46.71373779637378,E1,0000,none
E1_subset_0001,osi_target_t48h,0.007592908761336317,0.0023218529772275676,22944,0.3770837244327211,0.0020917024513388586,0.06225349433347234,46.29968619246862,E1,0001,R_t
E1_subset_0010,osi_target_t48h,0.007593428433818521,0.0023066625802577725,22944,0.37699845446964386,0.002066386768712737,0.061932949881020403,46.71373779637378,E1,0010,D_t
E1_subset_0011,osi_target_t48h,0.007592908761336317,0.0023218529772275676,22944,0.3770837244327211,0.0020917024513388586,0.06225349433347234,46.29968619246862,E1,0011,D_t+R_t
E1_subset_0100,osi_target_t48h,0.007605062620514154,0.0022629831345239108,22944,0.37508794226402753,0.0019852774935528385,0.06218159225047259,48.2784170153417,E1,0100,N_t
E1_subset_0101,osi_target_t48h,0.007603243078022234,0.0022764460215419996,22944,0.375386932049403,0.0020098728601989605,0.06250213670292452,47.89923291492329,E1,0101,N_t+R_t
E1_subset_0110,osi_target_t48h,0.007605062620514154,0.0022629831345239108,22944,0.37508794226402753,0.0019852774935528385,0.06218159225047259,48.2784170153417,E1,0110,N_t+D_t
E1_subset_0111,osi_target_t48h,0.007603243078022234,0.0022764460215419996,22944,0.375386932049403,0.0020098728601989605,0.06250213670292452,47.89923291492329,E1,0111,N_t+D_t+R_t
E1_subset_1000,osi_target_t48h,0.007593428433818521,0.0023066625802577725,22944,0.37699845446964386,0.002066386768712737,0.061932949881020403,46.71373779637378,E1,1000,P_t
E1_subset_1001,osi_target_t48h,0.007592908761336317,0.0023218529772275676,22944,0.3770837244327211,0.0020917024513388586,0.06225349433347234,46.29968619246862,E1,1001,P_t+R_t
E1_subset_1010,osi_target_t48h,0.007593428433818521,0.0023066625802577725,22944,0.37699845446964386,0.002066386768712737,0.061932949881020403,46.71373779637378,E1,1010,P_t+D_t
