model,horizon,severity,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct
V18_C1_E0,osi_target_t01h,ge_0.05,0.06217956061227636,0.0395717505552794,951,0.23558533759302358,0.08593283449903757,0.2926764026968674,0.6309148264984227
V18_C1_E0,osi_target_t06h,lt_0.001,0.0026028622177710486,0.001175433914632134,23277,-154.1838985538565,0.0012071046625807527,0.030282782984748003,63.42312153628045
V18_C1_E0,osi_target_t06h,0.001_0.01,0.006253176425593794,0.0038021057743988554,6529,-5.711308493875221,0.00564230786393006,0.06149903779896464,13.034155307091439
V18_C1_E0,osi_target_t06h,0.01_0.05,0.01575312703468176,0.011745770212431388,2435,-1.2364904453357601,0.0157597097183334,0.11947992693395475,2.4640657084188913
V18_C1_E0,osi_target_t06h,ge_0.05,0.05954961002350912,0.041827354521266985,741,0.039344821526181906,0.07550708571231436,0.257321594928204,0.8097165991902834
V18_C1_E0,osi_target_t24h,lt_0.001,0.0024655270960190277,0.0012915390070088399,21007,-138.98956303084506,0.001329850046186257,0.02300620194301357,55.18160613128957
V18_C1_E0,osi_target_t24h,0.001_0.01,0.005053888568710253,0.003343531774211239,5585,-3.4536315150826002,0.00499589949423621,0.030707061488371556,10.581915846016114
V18_C1_E0,osi_target_t24h,0.01_0.05,0.015179916858292623,0.012055225250244838,1776,-1.2902420632876468,0.010789498348932908,0.09158391813809054,2.027027027027027
V18_C1_E0,osi_target_t24h,ge_0.05,0.06531471182791375,0.05342491587303645,312,-2.0344033045766023,0.042358672718183395,0.12131757109497565,2.2435897435897436
V18_C1_E0,osi_target_t48h,lt_0.001,0.002150194690162134,0.001050855968328026,17970,-111.93856466979823,0.0010820913606485604,0.022907799477709535,56.449638286032275
V18_C1_E0,osi_target_t48h,0.001_0.01,0.004433606430343148,0.0029536634219885977,3828,-2.6363098592798333,0.003985659946960478,0.028424875468426584,13.662486938349009
V18_C1_E0,osi_target_t48h,0.01_0.05,0.015651158928630872,0.01263405441301692,994,-1.4311118627894164,0.00873430665814308,0.05918885925226993,4.527162977867203
V18_C1_E0,osi_target_t48h,ge_0.05,0.07784675099364101,0.06694283437281927,152,-1.9607429357179904,0.02649334983770704,0.061932949881020403,3.9473684210526314
V18_C3,osi_target_t01h,lt_0.001,0.0023265976141727766,0.0011254431792892341,23816,-122.7131230618857,0.0011665541970923917,0.02343550810649563,57.81407457171649
V18_C3,osi_target_t01h,0.001_0.01,0.006014118266619779,0.003598970551046578,6769,-5.15882724064289,0.005569586265743414,0.06681102667905356,9.21849608509381
