split_seed,horizon,scenario,group_type,group,fipsCode,countyName,stateAbbr,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
20260917,1,O_N_all,county,18085,18085,Kosciusko County,IN,1.0,143,0.002062567602469418,0.0015115377010088756,0.0006083484714101712,0.0011852411154152753,0.002308383323690957,-0.000245815721221539,-10.648825899006042,0.00015364612897034386
20260917,1,O_N_all,county,18087,18087,LaGrange County,IN,3.0,143,0.0015580711623957876,0.001401130264728507,0.00034714476183377865,0.0013644692902084912,0.0016728589588604383,-0.00011478779646465062,-6.861773723162223,5.303460292848842e-05
20260917,1,O_N_all,county,18089,18089,Lake County,IN,0.0,143,0.0021453388218366214,0.0012648285291999408,0.0006581544484485461,0.00034066067649139953,0.0022480367714673008,-0.00010269794963067933,-4.568339403258426,6.452026515073881e-05
20260917,1,O_N_all,county,18091,18091,LaPorte County,IN,4.0,143,0.0013251530844720462,0.0007557030949053692,0.0002511123897118663,6.596817058059013e-05,0.0014915533435694507,-0.00016640025909740448,-11.156172175457723,6.70241971581224e-05
20260917,1,O_N_all,county,18093,18093,Lawrence County,IN,3.0,143,0.005969788786005398,0.002024785069144017,0.00509628807538076,-0.0013886794307955699,0.007541084740762152,-0.001571295954756754,-20.836471260737333,0.0030358300712511176
20260917,1,O_N_all,county,18095,18095,Madison County,IN,3.0,143,0.0012692435990216714,0.0006612012685904453,0.00023037004185302046,3.355661939497074e-05,0.001466198274550524,-0.00019695467552885253,-13.433017822178972,7.704240352915509e-05
20260917,1,O_N_all,county,18097,18097,Marion County,IN,4.0,143,0.0005985304649064588,0.0002781050278781925,5.122813659122328e-05,4.3513326794999984e-05,0.0006817681046894271,-8.323763978296825e-05,-12.20908388210481,1.5239371454546058e-05
20260917,1,O_N_all,county,18099,18099,Marshall County,IN,0.0,143,0.006898720695489729,0.0020071113256960446,0.006805705654516096,-0.0012977800713800606,0.008793563109609088,-0.0018948424141193593,-21.548061809538698,0.004252019904746841
20260917,1,O_N_all,county,18101,18101,Martin County,IN,0.0,143,0.003219304799825688,0.001706845044950623,0.0014820410453678418,0.000496589484559893,0.0035888867963367113,-0.00036958199651102334,-10.297956371548612,0.00035981446111171605
20260917,1,O_N_all,county,18103,18103,Miami County,IN,3.0,143,0.0035352349315091146,0.0020121774218838473,0.0017871977009976023,0.0019395544714624134,0.00381790472272392,-0.00028266979121480563,-7.403793749288012,0.00029722699446945626
20260917,1,O_N_all,county,18105,18105,Monroe County,IN,1.0,143,0.0019153373933125468,0.0007313440101151173,0.0005245979782216461,-6.751249983578677e-05,0.0021780725965669604,-0.00026273520325441357,-12.062738573017818,0.00015379405551433343
20260917,1,O_N_all,county,18107,18107,Montgomery County,IN,4.0,143,0.000978938608660189,0.0004225863161947057,0.00013703987433215316,0.00018698815013011788,0.0011343220535620067,-0.00015538344490181768,-13.698353515554196,4.6956298199036145e-05
20260917,1,O_N_all,county,18109,18109,Morgan County,IN,0.0,143,0.0031170895737645163,0.0013671031827255202,0.0013894233797546178,0.0011603932008547898,0.0034769046035050665,-0.0003598150297405502,-10.348717344094538,0.0003392844041734673
20260917,1,O_N_all,county,18111,18111,Newton County,IN,1.0,143,0.004110044148011686,0.0026767773775167184,0.0024156221945005316,0.0022620170885193545,0.00442361195709987,-0.0003135678090881843,-7.08850170695714,0.00038265081832003327
20260917,1,O_N_all,county,18113,18113,Noble County,IN,4.0,143,0.0008906098414371924,0.0005267073333283656,0.00011342558222206367,-4.342798208192167e-05,0.0009917235093291977,-0.00010111366789200527,-10.195751834137578,2.7217136988675646e-05
20260917,1,O_N_all,county,18117,18117,Orange County,IN,4.0,143,0.010130280776666566,0.0028986949743690276,0.014675030171816325,-0.0026878655339591094,0.012585213410660167,-0.0024549326339936006,-19.506483949761044,0.007974396140819724
20260917,1,O_N_all,county,18121,18121,Parke County,IN,2.0,143,0.02079206317506255,0.008367974593629885,0.0618203144238383,-0.0035682702157847812,0.021892961326343517,-0.0011008981512809664,-5.028548376213815,0.006719836632220186
20260917,1,O_N_all,county,18123,18123,Perry County,IN,2.0,143,0.003725703659190662,0.0016102432021043163,0.001984964089123256,0.0015542991461602604,0.004808691636214589,-0.0010829879770239271,-22.521468602142626,0.0013216985919413636
20260917,1,O_N_all,county,18125,18125,Pike County,IN,0.0,143,0.002999160932250692,0.0010310933752919308,0.0012862801805480543,0.0009405758884632657,0.00359213191320294,-0.0005929709809522482,-16.507494582055116,0.0005589076899566408
20260917,1,O_N_all,county,18127,18127,Porter County,IN,3.0,143,0.0027037160356224743,0.0019214189415792326,0.001045341497383341,0.001824574856773297,0.0028443941332973502,-0.00014067809767487598,-4.945801850315156,0.00011161115454836126
20260917,1,O_N_all,county,18129,18129,Posey County,IN,1.0,143,0.0015058655028362018,0.0006809695115221813,0.00032427122050639423,0.0002434699960520415,0.001549068323472795,-4.320282063659318e-05,-2.7889551404510327,1.8873391416120524e-05
20260917,1,O_N_all,county,18131,18131,Pulaski County,IN,0.0,143,0.016020932274306652,0.003608228399571459,0.03670384874412264,-0.0031592981240051183,0.01782139165719121,-0.0018004593828845582,-10.102799026685695,0.008713237341534986
20260917,1,O_N_all,county,18133,18133,Putnam County,IN,1.0,143,0.0014137236272211229,0.000563026316375542,0.00028580187266534463,-6.740072126894994e-06,0.0016062527774156276,-0.00019252915019450471,-11.986229870012954,8.314498918328005e-05
