horizon,rank,feature,importance,importance_fraction
osi_target_t06h,93,pre_event_max_outage_pct,0.002357812598347664,0.002357812598347664
osi_target_t06h,94,pct_water,0.002317786915227771,0.002317786915227771
osi_target_t06h,95,blh_t,0.0021914325188845396,0.0021914325188845396
osi_target_t06h,96,n_utilities,0.0021889349445700645,0.0021889349445700645
osi_target_t06h,97,gust_gt40_obs,0.0021660057827830315,0.0021660057827830315
osi_target_t06h,98,tp_rate_next_48h,0.0021555516868829727,0.0021555516868829727
osi_target_t06h,99,window_len_next_48h,0.002060389844700694,0.002060389844700694
osi_target_t06h,100,R_t_mean_72h,0.002059760270640254,0.002059760270640254
osi_target_t06h,101,temp_change_6h,0.0019202319672331214,0.0019202319672331214
osi_target_t06h,102,vpd_t,0.001897849258966744,0.001897849258966744
osi_target_t06h,103,soil_moist_x_gust,0.0018890261417254806,0.0018890261417254806
osi_target_t06h,104,gust_gt30_frac_next_24h,0.0018871731590479612,0.0018871731590479612
osi_target_t06h,105,dewpoint_c_t,0.0017721873009577394,0.0017721873009577394
osi_target_t06h,106,r2_t,0.0017585394671186805,0.0017585394671186805
osi_target_t06h,107,wind_speed_at_t1h,0.001734331832267344,0.001734331832267344
osi_target_t06h,108,gust_gt40_next_24h,0.0017252155812457204,0.0017252155812457204
osi_target_t06h,109,gust_gt30_next_1h,0.0017091783229261637,0.0017091783229261637
osi_target_t06h,110,rural_urban_code,0.001704195630736649,0.001704195630736649
osi_target_t06h,111,pct_agriculture,0.0017007908318191767,0.0017007908318191767
osi_target_t06h,112,min_t2m_next_1h,0.0016601178795099258,0.0016601178795099258
osi_target_t06h,113,gust_max_next_24h,0.0016423448687419295,0.0016423448687419295
osi_target_t06h,114,gust_max_next_1h,0.0016280922573059797,0.0016280922573059797
osi_target_t06h,115,t2m_t,0.0016160707455128431,0.0016160707455128431
osi_target_t06h,116,hour_sin,0.0015317742945626378,0.0015317742945626378
osi_target_t06h,117,gust_gt30_next_24h,0.0015301309758797288,0.0015301309758797288
osi_target_t06h,118,wind_speed_max_next_1h,0.0015264922985807061,0.0015264922985807061
osi_target_t06h,119,t2m_at_t1h,0.0015079305740073323,0.0015079305740073323
osi_target_t06h,120,rain_t,0.0014730695402249694,0.0014730695402249694
osi_target_t06h,121,sdswrf_t,0.0014029723824933171,0.0014029723824933171
osi_target_t06h,122,wind_speed_at_t24h,0.0013821395114064217,0.0013821395114064217
osi_target_t06h,123,hcc_t,0.0013448571553453803,0.0013448571553453803
osi_target_t06h,124,tp_at_t48h,0.0013328916393220425,0.0013328916393220425
osi_target_t06h,125,hour_cos,0.0013062844518572092,0.0013062844518572092
osi_target_t06h,126,gust_at_t24h,0.0012807655148208141,0.0012807655148208141
osi_target_t06h,127,temp_c_t,0.0012619299814105034,0.0012619299814105034
osi_target_t06h,128,gust_at_t1h,0.0012375443475320935,0.0012375443475320935
osi_target_t06h,129,gust_at_t6h,0.0011767495889216661,0.0011767495889216661
osi_target_t06h,130,wind_speed_t,0.0011483553098514676,0.0011483553098514676
osi_target_t06h,131,tp_at_t24h,0.0009967085206881166,0.0009967085206881166
osi_target_t06h,132,gust_gt30_frac_next_6h,0.0009868345223367214,0.0009868345223367214
osi_target_t06h,133,gust_t,0.0009073816472664475,0.0009073816472664475
osi_target_t06h,134,mcc_t,0.0008730237605050206,0.0008730237605050206
osi_target_t06h,135,gust_mean_next_1h,0.0008597177220508456,0.0008597177220508456
osi_target_t06h,136,direct_rad_t,0.0008560648420825601,0.0008560648420825601
osi_target_t06h,137,gust_exceed30_x_hso,0.0007895421585999429,0.0007895421585999429
osi_target_t06h,138,gust_gt30_next_6h,0.000770683865994215,0.000770683865994215
osi_target_t06h,139,tp_t,0.000694001791998744,0.000694001791998744
osi_target_t06h,140,is_metro,0.0006853051017969847,0.0006853051017969847
osi_target_t06h,141,gust_change_3h,0.0006541272741742432,0.0006541272741742432
osi_target_t06h,142,diffuse_rad_t,0.0006463440950028598,0.0006463440950028598
osi_target_t06h,143,gust_peak4h_mean_next_1h,0.0006310518947429955,0.0006310518947429955
osi_target_t06h,144,tp_at_t6h,0.0006259230431169271,0.0006259230431169271
osi_target_t06h,145,gust_exceed_30,0.0006083850166760385,0.0006083850166760385
osi_target_t06h,146,tcc_t,0.0005184088950045407,0.0005184088950045407
osi_target_t06h,147,gust_gt30_frac_next_1h,0.000481962866615504,0.000481962866615504
osi_target_t06h,148,tp_at_t1h,0.00044236864778213203,0.00044236864778213203
osi_target_t06h,149,wind_change_1h,0.0003913633117917925,0.0003913633117917925
osi_target_t06h,150,gust_change_1h,0.0003642833326011896,0.0003642833326011896
osi_target_t06h,151,storm_phase,0.0,0.0
osi_target_t06h,152,gust_gt40_next_1h,0.0,0.0
osi_target_t06h,153,window_len_next_6h,0.0,0.0
osi_target_t06h,154,is_full_next_6h,0.0,0.0
osi_target_t06h,155,is_full_next_1h,0.0,0.0
osi_target_t06h,156,has_weather_at_t6h,0.0,0.0
osi_target_t06h,157,is_full_next_24h,0.0,0.0
osi_target_t06h,158,window_len_next_24h,0.0,0.0
osi_target_t06h,159,window_len_next_1h,0.0,0.0
osi_target_t06h,160,has_weather_at_t1h,0.0,0.0
osi_target_t06h,161,is_full_next_48h,0.0,0.0
osi_target_t06h,162,has_weather_at_t24h,0.0,0.0
osi_target_t06h,163,has_weather_at_t48h,0.0,0.0
osi_target_t24h,1,last_P_t,0.07819946855306625,0.07819946110248566
osi_target_t24h,2,last_osi,0.05759205296635628,0.05759204551577568
osi_target_t24h,3,hours_since_obs,0.04479248821735382,0.04479248449206352
osi_target_t24h,4,last_D_t,0.04123951122164726,0.041239507496356964
osi_target_t24h,5,N_t_max_72h,0.03226690739393234,0.032266903668642044
osi_target_t24h,6,cumul_gust_since_onset,0.023394770920276642,0.023394769057631493
osi_target_t24h,7,outage_pct_max_72h,0.02123982459306717,0.02123982273042202
osi_target_t24h,8,gust_x_phase,0.021213822066783905,0.021213820204138756
osi_target_t24h,9,tp_rate_next_24h,0.01562807522714138,0.01562807336449623
osi_target_t24h,10,total_tp_next_24h,0.013881649821996689,0.01388164795935154
osi_target_t24h,11,gust_x_hso,0.013285849243402481,0.013285847380757332
osi_target_t24h,12,mslma_t,0.013189822435379028,0.013189820572733879
osi_target_t24h,13,tree_canopy_std,0.012466391548514366,0.012466389685869217
osi_target_t24h,14,gust_at_t48h,0.0123056061565876,0.012305604293942451
osi_target_t24h,15,storm_onset_mean_osi,0.011583324521780014,0.01158332359045744
osi_target_t24h,16,pop_density,0.011185398325324059,0.011185397394001484
osi_target_t24h,17,pct_forest,0.010986119508743286,0.010986118577420712
osi_target_t24h,18,log_customers,0.010486493818461895,0.01048649288713932
osi_target_t24h,19,cumul_tp_since_onset,0.010196605697274208,0.010196604765951633
osi_target_t24h,20,osi_trend_last6h,0.009959639050066471,0.009959638118743896
osi_target_t24h,21,frac_zero_72h,0.009708885103464127,0.009708884172141552
osi_target_t24h,22,wind_speed_max_next_48h,0.009678180329501629,0.009678179398179054
osi_target_t24h,23,wind_sin_t,0.009593487717211246,0.009593486785888672
osi_target_t24h,24,pct_wetland,0.009518052451312542,0.009518051519989967
osi_target_t24h,25,gust_max_last6h_obs,0.009349795058369637,0.009349794127047062
osi_target_t24h,26,storm_onset_max_osi,0.00933425035327673,0.009334249421954155
osi_target_t24h,27,gust_mean_next_24h,0.009323892183601856,0.009323891252279282
osi_target_t24h,28,gust_last_obs,0.009242055006325245,0.00924205407500267
osi_target_t24h,29,gust_max_next_24h,0.009143365547060966,0.009143364615738392
osi_target_t24h,30,cumul_gust_obs,0.008927352726459503,0.008927351795136929
osi_target_t24h,31,pressure_change_3h,0.008702600374817848,0.008702599443495274
osi_target_t24h,32,last_N_t,0.008546111173927784,0.00854611024260521
osi_target_t24h,33,pre_event_mean_osi,0.007927917875349522,0.007927916944026947
osi_target_t24h,34,gust_mean_obs,0.007800063583999872,0.007800062652677298
osi_target_t24h,35,pct_forest_classified,0.00757295498624444,0.0075729540549218655
